Historical Values of the NBER Experimental Recession Index (XRI),
Experimental Leading Index (XLI), Experimental  Coincident Index (XCI),
Experimental Coincident Recession Index (XRIC)
alternative nonfinancial  Experimental Leading Index-2 (XLI-2), and
alternative  nonfinancial Experimental Leading Recession Index-2 (XRI-2).
Data are monthly


Last Updated:  4/30/01

     date          XRI        XLI       XCI       XRI-C     XLI-2     XRI-2
     1959:02          .       3.0       71.4          .     3.0          . 
     1959:03          .       3.0       71.6          .     3.0          . 
     1959:04          .       3.0       73.0       0.01     3.0          . 
     1959:05          .       3.0       73.8       0.01     3.0          . 
     1959:06          .       3.0       74.0       0.01     3.0          . 
     1959:07          .       3.0       73.3       0.24     3.0          . 
     1959:08          .       3.0       72.0       0.89     3.0          . 
     1959:09          .       3.0       71.7       0.93     3.0          . 
     1959:10          .       3.0       71.4       0.94     3.0          . 
     1959:11          .       3.0       71.8       0.14     3.0          . 
     1959:12          .       3.0       74.1       0.01     3.0          . 
     1960:01          .       3.0       75.1       0.01     3.0          . 
     1960:02          .       4.7       75.0       0.03    -0.7          . 
     1960:03          .       2.2       74.5       0.34    -0.6          . 
     1960:04          .       0.5       74.4       0.44    -0.9          . 
     1960:05          .      -1.7       74.1       0.68    -0.3          . 
     1960:06          .      -2.6       73.7       0.91     0.3          . 
     1960:07          .      -2.2       73.6       0.81     1.3          . 
     1960:08          .      -0.2       73.5       0.71     1.8          . 
     1960:09          .      -0.2       73.2       0.83     1.6          . 
     1960:10          .      -0.5       73.2       0.70     1.1          . 
     1960:11          .      -1.2       72.7       0.96    -0.6          . 
     1960:12          .      -0.3       71.7       0.99    -0.6          . 
     1961:01       0.21       1.2       71.5       0.88    -0.3       0.30 
     1961:02       0.27       0.0       71.4       0.72     1.3       0.25 
     1961:03       0.13       1.2       71.9       0.13     3.2       0.17 
     1961:04       0.04       3.0       72.4       0.02     4.1       0.17 
     1961:05       0.02       4.4       73.0       0.01     3.7       0.18 
     1961:06       0.01       6.0       73.9       0.01     5.2       0.16 
     1961:07       0.01       6.0       74.3       0.01     4.1       0.17 
     1961:08       0.01       6.7       74.9       0.01     4.6       0.16 
     1961:09       0.01       5.6       74.9       0.02     3.0       0.21 
     1961:10       0.01       5.9       75.8       0.01     3.3       0.21 
     1961:11       0.01       6.1       76.6       0.01     4.0       0.17 
     1961:12       0.01       5.9       77.1       0.01     4.5       0.17 
     1962:01       0.01       6.1       76.6       0.13     2.4       0.22 
     1962:02       0.01       7.0       77.2       0.02     4.7       0.16 
     1962:03       0.01       5.4       77.8       0.01     1.9       0.22 
     1962:04       0.02       4.8       78.3       0.01     1.9       0.16 
     1962:05       0.05       3.0       78.4       0.01     1.5       0.20 
     1962:06       0.06       3.0       78.3       0.05     1.8       0.20 
     1962:07       0.04       3.0       78.6       0.02     2.7       0.16 
     1962:08       0.05       2.5       78.7       0.02     2.9       0.14 
     1962:09       0.03       3.7       79.0       0.01     2.9       0.14 
     1962:10       0.02       4.1       79.1       0.02     2.6       0.16 
     1962:11       0.02       4.0       79.5       0.01     3.2       0.13 
     1962:12       0.02       4.5       79.4       0.04     3.6       0.13 
     1963:01       0.01       5.1       79.5       0.03     3.7       0.13 
     1963:02       0.01       5.8       80.0       0.01     4.5       0.14 
     1963:03       0.01       6.3       80.4       0.01     4.7       0.13 
     1963:04       0.01       6.5       81.0       0.01     4.9       0.13 
     1963:05       0.01       7.5       81.5       0.01     4.4       0.12 
     1963:06       0.02       6.2       81.8       0.01     2.8       0.15 
     1963:07       0.03       4.6       81.9       0.02     1.3       0.17 
     1963:08       0.07       3.3       82.0       0.03     2.8       0.15 
     1963:09       0.05       4.1       82.4       0.01     4.4       0.10 
     1963:10       0.04       4.2       82.9       0.01     4.8       0.09 
     1963:11       0.05       3.5       83.0       0.01     4.1       0.12 
     1963:12       0.03       4.4       83.2       0.01     3.1       0.11 
     1964:01       0.02       5.0       83.4       0.01     3.6       0.16 
     1964:02       0.02       6.0       84.0       0.01     4.7       0.10 
     1964:03       0.02       4.8       84.2       0.01     3.8       0.15 
     1964:04       0.04       3.6       85.1       0.01     3.1       0.17 
     1964:05       0.04       3.5       85.5       0.01     4.0       0.15 
     1964:06       0.03       4.0       85.8       0.01     3.8       0.14 
     1964:07       0.02       5.5       86.2       0.01     5.2       0.13 
     1964:08       0.01       6.6       86.5       0.01     5.1       0.14 
     1964:09       0.01       6.1       86.9       0.01     3.1       0.20 
     1964:10       0.02       5.0       86.5       0.14     1.5       0.26 
     1964:11       0.02       5.8       87.7       0.01     3.7       0.20 
     1964:12       0.03       4.6       88.8       0.01     2.8       0.23 
     1965:01       0.02       4.9       89.5       0.01     4.0       0.17 
     1965:02       0.02       4.9       89.9       0.01     3.5       0.21 
     1965:03       0.02       5.0       90.7       0.01     3.9       0.18 
     1965:04       0.02       5.5       91.0       0.01     3.0       0.22 
     1965:05       0.02       4.7       91.4       0.01     3.5       0.19 
     1965:06       0.02       5.3       91.7       0.01     4.5       0.16 
     1965:07       0.02       5.3       92.3       0.01     3.8       0.17 
     1965:08       0.02       5.1       92.7       0.01     3.0       0.18 
     1965:09       0.02       5.7       92.9       0.01     3.4       0.17 
     1965:10       0.01       6.7       93.8       0.01     5.0       0.13 
     1965:11       0.01       7.4       94.5       0.01     6.0       0.12 
     1965:12       0.01       7.7       95.4       0.01     7.2       0.14 
     1966:01       0.01       7.8       96.0       0.01     5.5       0.15 
     1966:02       0.01       6.5       96.6       0.01     2.8       0.26 
     1966:03       0.01       6.6       97.6       0.01     3.6       0.23 
     1966:04       0.02       5.7       97.6       0.01     2.5       0.25 
     1966:05       0.05       3.6       97.8       0.01     0.8       0.29 
     1966:06       0.17       1.0       98.4       0.01     0.2       0.34 
     1966:07       0.25       0.4       98.6       0.01     0.9       0.30 
     1966:08       0.12       1.8       98.8       0.01     0.7       0.32 
     1966:09       0.06       2.6       99.3       0.01     0.2       0.37 
     1966:10       0.04       2.4       99.7       0.01    -0.3       0.39 
     1966:11       0.12       2.1       99.6       0.04    -0.5       0.39 
     1966:12       0.23       0.6       99.8       0.03     0.8       0.32 
     1967:01       0.16       1.8      100.3       0.01     2.9       0.16 
     1967:02       0.53      -1.1       99.7       0.18     2.4       0.22 
     1967:03       0.48      -1.3       99.6       0.17     1.7       0.24 
     1967:04       0.17       0.5       99.8       0.06     2.5       0.19 
     1967:05       0.06       2.1       99.6       0.23     3.0       0.17 
     1967:06       0.01       5.6      100.0       0.06     4.6       0.10 
     1967:07       0.02       5.7      100.0       0.07     4.6       0.11 
     1967:08       0.02       6.2      101.0       0.01     4.9       0.11 
     1967:09       0.02       5.5      101.1       0.02     4.4       0.11 
     1967:10       0.02       6.1      101.3       0.02     4.1       0.13 
     1967:11       0.02       5.5      102.3       0.01     4.6       0.14 
     1967:12       0.01       5.9      103.4       0.01     3.7       0.14 
     1968:01       0.01       5.7      103.2       0.03     1.5       0.25 
     1968:02       0.01       6.8      103.6       0.01     3.3       0.15 
     1968:03       0.01       7.2      103.9       0.01     3.5       0.14 
     1968:04       0.04       4.8      104.0       0.01     2.7       0.17 
     1968:05       0.06       4.1      104.8       0.01     3.6       0.15 
     1968:06       0.07       2.7      105.3       0.01     3.2       0.15 
     1968:07       0.09       2.1      105.7       0.01     3.5       0.15 
     1968:08       0.07       3.1      105.8       0.01     3.8       0.13 
     1968:09       0.02       5.0      106.2       0.01     5.1       0.09 
     1968:10       0.02       5.0      106.6       0.01     5.0       0.11 
     1968:11       0.02       5.2      107.4       0.01     6.0       0.12 
     1968:12       0.04       4.1      107.5       0.01     3.2       0.16 
     1969:01       0.03       4.8      107.9       0.01     3.3       0.15 
     1969:02       0.03       5.3      108.2       0.01     4.0       0.14 
     1969:03       0.09       3.3      108.8       0.01     2.9       0.16 
     1969:04       0.17       2.0      108.9       0.02     3.3       0.16 
     1969:05       0.48      -0.5      109.1       0.03     2.6       0.22 
     1969:06       0.57      -1.4      109.6       0.01     2.7       0.20 
     1969:07       0.51      -1.4      109.9       0.01     0.9       0.25 
     1969:08       0.48      -1.3      110.4       0.01     1.5       0.22 
     1969:09       0.58      -1.6      110.6       0.01     1.1       0.25 
     1969:10       0.50      -1.4      110.9       0.01     2.0       0.24 
     1969:11       0.51      -1.3      110.3       0.19     0.8       0.28 
     1969:12       0.37      -0.1      110.3       0.18     0.8       0.34 
     1970:01       0.75      -2.6      109.1       0.87    -1.8       0.48 
     1970:02       0.73      -2.8      109.0       0.54    -0.6       0.37 
     1970:03       0.57      -1.6      108.8       0.56     0.1       0.31 
     1970:04       0.56      -1.3      108.7       0.57     1.4       0.23 
     1970:05       0.65      -1.6      108.5       0.53     3.2       0.21 
     1970:06       0.78      -2.6      108.3       0.65     0.9       0.31 
     1970:07       0.52      -2.0      108.6       0.23     0.8       0.24 
     1970:08       0.17       0.1      108.5       0.32     2.0       0.17 
     1970:09       0.08       1.8      107.8       0.80     2.8       0.15 
     1970:10       0.08       2.2      106.6       0.98     2.8       0.14 
     1970:11       0.11       2.3      106.0       0.99     2.0       0.18 
     1970:12       0.02       4.0      107.3       0.09     6.5       0.04 
     1971:01       0.01       3.5      108.2       0.02     5.7       0.07 
     1971:02       0.01       3.0      108.3       0.04     3.8       0.09 
     1971:03       0.01       4.2      108.5       0.03     5.4       0.06 
     1971:04       0.01       5.2      108.9       0.01     5.1       0.07 
     1971:05       0.01       6.8      109.2       0.01     6.0       0.04 
     1971:06       0.02       6.9      109.7       0.01     5.4       0.06 
     1971:07       0.02       5.9      109.4       0.08     6.8       0.04 
     1971:08       0.05       4.7      109.4       0.07     5.0       0.05 
     1971:09       0.03       4.4      110.1       0.01     5.7       0.05 
     1971:10       0.02       4.5      110.4       0.01     4.9       0.05 
     1971:11       0.01       5.5      111.3       0.01     6.5       0.04 
     1971:12       0.01       6.1      112.4       0.01     7.8       0.03 
     1972:01       0.01       7.7      113.8       0.01     7.9       0.03 
     1972:02       0.01       7.7      114.2       0.01     6.5       0.04 
     1972:03       0.01       5.8      114.9       0.01     6.1       0.05 
     1972:04       0.01       5.9      116.0       0.01     6.5       0.04 
     1972:05       0.01       5.4      116.2       0.01     4.8       0.06 
     1972:06       0.01       5.5      116.3       0.03     6.5       0.04 
     1972:07       0.01       7.0      116.5       0.02     6.7       0.04 
     1972:08       0.01       8.1      117.8       0.01     7.8       0.03 
