Historical Values of the NBER Experimental Recession Index (XRI),
Experimental Leading Index (XLI), Experimental  Coincident Index (XCI),
Experimental Coincident Recession Index (XRIC)
alternative nonfinancial  Experimental Leading Index-2 (XLI-2), and
     1972:08       0.01       8.4      117.5       0.01     8.1       0.04 
     1972:09       0.01       9.1      118.6       0.01     9.7       0.03 
     1972:10       0.01       9.9      120.0       0.01     9.3       0.04 
     1972:11       0.01       9.3      121.3       0.01     7.0       0.06 
     1972:12       0.01      11.0      122.3       0.01     8.3       0.05 
     1973:01       0.01       8.9      122.7       0.01     7.4       0.06 
     1973:02       0.04       6.7      123.8       0.01     6.7       0.07 
     1973:03       0.11       4.2      124.0       0.01     3.7       0.11 
     1973:04       0.14       2.9      124.2       0.02     2.3       0.15 
     1973:05       0.11       3.2      124.4       0.01     2.8       0.13 
     1973:06       0.25       2.8      124.8       0.01     5.2       0.08 
     1973:07       0.64      -0.7      125.5       0.01     3.7       0.13 
     1973:08       0.77      -1.7      125.1       0.07     3.6       0.14 
     1973:09       0.56      -1.4      125.6       0.02     2.6       0.19 
     1973:10       0.36      -1.5      126.3       0.01    -0.9       0.40 
     1973:11       0.32      -2.2      127.3       0.01     0.1       0.37 
     1973:12       0.26      -1.7      126.6       0.15    -1.0       0.47 
     1974:01       0.19      -0.3      125.7       0.54    -0.5       0.46 
     1974:02       0.28       1.0      125.2       0.85     0.5       0.38 
     1974:03       0.56       0.9      125.2       0.42     2.2       0.23 
     1974:04       0.94      -2.1      124.4       0.86     0.1       0.36 
     1974:05       0.98      -4.5      125.4       0.14     0.1       0.38 
     1974:06       1.00      -9.2      125.7       0.11    -0.3       0.40 
     1974:07       0.99      -9.3      125.6       0.20    -1.4       0.49 
     1974:08       0.99     -11.4      125.0       0.62    -1.9       0.54 
     1974:09       0.95     -10.7      124.8       0.48    -3.1       0.51 
     1974:10       0.88      -8.9      124.2       0.78    -3.4       0.48 
     1974:11       0.95     -10.0      122.1       0.99    -4.7       0.50 
     1974:12       0.80      -5.8      119.0       0.99    -4.5       0.43 
     1975:01       0.80      -5.5      117.3       0.99    -4.8       0.47 
     1975:02       0.77      -4.8      115.9       0.99    -3.9       0.42 
     1975:03       0.71      -3.0      114.4       0.99    -1.6       0.38 
     1975:04       0.20       0.4      114.8       0.65     3.6       0.14 
     1975:05       0.03       3.0      114.8       0.62     4.1       0.16 
     1975:06       0.02       4.1      115.7       0.07     4.0       0.17 
     1975:07       0.01       5.8      116.0       0.03     4.9       0.16 
     1975:08       0.01       5.7      117.5       0.01     4.5       0.21 
     1975:09       0.01       5.2      118.3       0.01     2.8       0.24 
     1975:10       0.01       5.4      118.8       0.01     2.1       0.25 
     1975:11       0.01       5.5      119.4       0.01     1.2       0.27 
     1975:12       0.01       6.0      120.0       0.01     1.3       0.26 
     1976:01       0.01       6.2      121.5       0.01     3.5       0.20 
     1976:02       0.01       6.2      122.8       0.01     3.3       0.22 
     1976:03       0.01       5.9      122.9       0.01     2.3       0.27 
     1976:04       0.01       6.6      123.3       0.01     2.4       0.29 
     1976:05       0.01       5.7      123.9       0.01     1.8       0.28 
     1976:06       0.01       4.8      124.2       0.01     1.6       0.27 
     1976:07       0.01       6.9      124.6       0.01     2.2       0.21 
     1976:08       0.01       7.2      124.8       0.01     2.9       0.18 
     1976:09       0.01       8.3      125.2       0.01     4.5       0.11 
     1976:10       0.01       6.9      125.3       0.02     2.8       0.15 
     1976:11       0.01       7.4      126.7       0.01     4.6       0.10 
     1976:12       0.01       7.7      127.7       0.01     5.3       0.11 
     1977:01       0.01       6.7      127.6       0.01     3.8       0.15 
     1977:02       0.01       7.6      128.5       0.01     5.0       0.12 
     1977:03       0.01       8.6      129.7       0.01     5.0       0.08 
     1977:04       0.01       8.8      130.7       0.01     5.7       0.09 
     1977:05       0.01       7.9      131.5       0.01     5.3       0.10 
     1977:06       0.01       8.1      132.1       0.01     6.1       0.07 
     1977:07       0.01       6.6      132.6       0.01     5.2       0.10 
     1977:08       0.01       6.3      133.0       0.01     5.2       0.08 
     1977:09       0.02       6.2      133.7       0.01     4.4       0.11 
     1977:10       0.02       6.0      134.2       0.01     4.0       0.09 
     1977:11       0.02       6.9      134.8       0.01     6.1       0.07 
     1977:12       0.02       7.0      134.9       0.02     6.2       0.07 
     1978:01       0.04       5.4      133.8       0.29     3.9       0.13 
     1978:02       0.05       4.9      134.4       0.04     3.6       0.15 
     1978:03       0.04       5.2      135.9       0.01     4.3       0.10 
     1978:04       0.02       7.2      139.7       0.01     8.3       0.06 
     1978:05       0.05       4.7      139.9       0.01     6.0       0.10 
     1978:06       0.04       5.5      141.0       0.01     7.3       0.06 
     1978:07       0.11       3.6      140.9       0.02     3.8       0.11 
     1978:08       0.13       2.9      141.4       0.01     1.8       0.15 
     1978:09       0.16       3.2      141.7       0.01     3.4       0.11 
     1978:10       0.25       3.3      142.4       0.01     5.6       0.09 
     1978:11       0.17       3.6      143.4       0.01     6.6       0.09 
     1978:12       0.11       4.1      144.1       0.01     5.4       0.10 
     1979:01       0.30       0.5      143.6       0.09     0.2       0.35 
     1979:02       0.25       0.5      143.8       0.03    -0.2       0.32 
     1979:03       0.05       4.5      144.9       0.01     3.8       0.13 
     1979:04       0.06       4.1      143.0       0.34     2.8       0.22 
     1979:05       0.06       4.7      144.5       0.02     3.9       0.16 
     1979:06       0.09       4.0      144.8       0.02     2.7       0.17 
     1979:07       0.23       2.1      144.8       0.06     1.0       0.24 
     1979:08       0.52       0.6      144.8       0.10     2.3       0.20 
     1979:09       0.78      -0.5      144.5       0.22     3.3       0.15 
     1979:10       0.94      -3.6      144.7       0.09     2.0       0.20 
     1979:11       0.96      -5.2      144.6       0.17    -0.2       0.34 
     1979:12       0.92      -5.0      144.6       0.14    -1.2       0.35 
     1980:01       0.91      -4.0      145.0       0.05     0.5       0.25 
     1980:02       0.99      -5.0      144.8       0.15    -0.1       0.29 
     1980:03       0.99      -8.8      143.9       0.58    -2.9       0.47 
     1980:04       0.65      -5.6      141.7       0.99    -4.3       0.57 
     1980:05       0.53      -4.0      139.5       0.99    -5.3       0.52 
     1980:06       0.30      -0.9      138.4       0.99    -0.8       0.31 
     1980:07       0.26       2.4      137.9       0.97     3.7       0.15 
     1980:08       0.29       2.6      139.1       0.30     6.4       0.10 
     1980:09       0.27       3.3      140.6       0.08     7.8       0.08 
     1980:10       0.57       0.6      142.3       0.01     6.5       0.13 
     1980:11       0.91      -2.2      143.7       0.01     4.0       0.17 
     1980:12       0.76      -2.5      144.2       0.01     1.6       0.27 
     1981:01       0.49      -0.9      144.1       0.05    -0.6       0.37 
     1981:02       0.27       0.0      144.1       0.07    -0.5       0.36 
     1981:03       0.30       0.4      144.0       0.09     0.0       0.33 
     1981:04       0.71      -1.2      143.0       0.53     0.3       0.31 
     1981:05       0.69      -2.4      143.3       0.12     1.2       0.29 
     1981:06       0.84      -3.6      143.8       0.05    -1.2       0.47 
     1981:07       0.87      -4.9      144.6       0.01    -1.6       0.47 
     1981:08       0.90      -5.8      144.3       0.09    -1.7       0.51 
     1981:09       0.83      -4.3      142.8       0.67    -2.2       0.52 
     1981:10       0.62      -3.6      142.2       0.87    -3.9       0.61 
     1981:11       0.52      -2.5      141.4       0.97    -3.7       0.58 
     1981:12       0.55      -2.0      140.5       0.99    -1.9       0.50 
     1982:01       0.72      -2.1      138.4       0.99    -1.8       0.51 
     1982:02       0.41      -0.9      140.2       0.25     1.0       0.38 
     1982:03       0.42      -2.0      140.0       0.54     0.2       0.38 
     1982:04       0.45      -2.3      139.6       0.83     0.1       0.39 
     1982:05       0.61      -1.9      139.2       0.88     0.2       0.41 
     1982:06       0.65      -2.2      138.6       0.94    -1.3       0.48 
     1982:07       0.30      -0.3      137.6       0.99    -1.3       0.46 
     1982:08       0.55      -2.3      136.8       0.98    -2.4       0.57 
     1982:09       0.31      -1.9      136.2       0.97    -1.1       0.48 
     1982:10       0.11       1.0      135.3       0.99    -0.4       0.40 
     1982:11       0.08       1.7      135.1       0.88     1.8       0.27 
     1982:12       0.01       4.8      134.9       0.87     4.3       0.15 
     1983:01       0.01       6.8      136.6       0.12     6.8       0.10 
     1983:02       0.01       6.8      136.2       0.59     5.8       0.12 
     1983:03       0.01       7.1      137.3       0.03     4.4       0.16 
     1983:04       0.01       8.0      138.5       0.01     4.5       0.15 
     1983:05       0.01       9.0      139.7       0.01     5.2       0.12 
     1983:06       0.01       8.9      140.5       0.01     7.7       0.10 
     1983:07       0.01       8.6      142.2       0.01     6.7       0.11 
     1983:08       0.01       6.4      142.7       0.01     4.8       0.16 
     1983:09       0.01       5.5      144.5       0.01     2.8       0.21 
     1983:10       0.01       7.0      145.8       0.01     4.1       0.13 
     1983:11       0.01       7.2      146.3       0.01     5.6       0.14 
     1983:12       0.01       7.2      147.7       0.01     4.2       0.15 
     1984:01       0.01       8.6      149.5       0.01     6.1       0.11 
     1984:02       0.01       9.4      150.2       0.01     6.9       0.07 
     1984:03       0.01       7.7      150.9       0.01     5.1       0.13 
     1984:04       0.01       6.3      152.0       0.01     3.9       0.13 
     1984:05       0.02       5.0      152.6       0.01     4.1       0.14 
     1984:06       0.02       4.6      153.3       0.01     4.2       0.11 
     1984:07       0.02       3.4      153.6       0.01     2.0       0.21 
     1984:08       0.02       2.3      154.1       0.01     1.0       0.25 
     1984:09       0.01       2.8      154.2       0.02     0.5       0.25 
     1984:10       0.02       2.6      153.8       0.12     0.9       0.22 
     1984:11       0.01       5.5      154.4       0.02     3.8       0.11 
     1984:12       0.01       6.3      154.6       0.04     3.7       0.12 
     1985:01       0.01       6.8      154.9       0.03     5.0       0.11 
     1985:02       0.01       6.8      155.3       0.01     3.8       0.13 
     1985:03       0.01       5.5      155.9       0.01     3.5       0.11 
     1985:04       0.01       5.5      156.1       0.02     3.5       0.11 
     1985:05       0.01       5.2      156.7       0.01     3.7       0.10 
     1985:06       0.01       6.0      156.6       0.06     4.0       0.09 
     1985:07       0.01       5.8      156.3       0.14     4.0       0.10 
     1985:08       0.01       5.6      157.2       0.02     5.4       0.06 
     1985:09       0.01       6.7      157.8       0.01     6.9       0.05 
     1985:10       0.03       4.8      157.8       0.05     4.2       0.10 
     1985:11       0.05       3.7      158.2       0.02     2.8       0.12 
     1985:12       0.04       4.6      158.6       0.01     4.3       0.07 
     1986:01       0.04       5.0      159.3       0.01     5.5       0.06 
     1986:02       0.08       3.4      158.8       0.10     4.3       0.09 
     1986:03       0.05       3.9      158.6       0.16     4.2       0.10 
     1986:04       0.04       4.6      159.9       0.02     5.8       0.06 
     1986:05       0.16       2.3      159.5       0.11     3.8       0.10 
     1986:06       0.28       1.5      159.3       0.19     3.1       0.11 
     1986:07       0.13       2.7      159.4       0.11     4.0       0.09 
     1986:08       0.05       3.8      160.0       0.04     3.5       0.11 
     1986:09       0.05       3.2      160.8       0.01     3.6       0.11 
     1986:10       0.07       2.4      161.2       0.01     4.0       0.12 
     1986:11       0.11       1.6      161.5       0.01     2.9       0.14 
     1986:12       0.03       4.5      162.6       0.01     6.8       0.06 
     1987:01       0.09       3.3      161.9       0.12     2.4       0.15 
     1987:02       0.11       3.0      163.7       0.01     2.8       0.12 
     1987:03       0.15       2.3      164.1       0.01     3.7       0.10 
     1987:04       0.37       0.7      163.9       0.05     4.1       0.11 
     1987:05       0.39       0.0      164.7       0.01     3.1       0.14 
     1987:06       0.15       1.1      165.6       0.01     4.3       0.13 
     1987:07       0.05       1.9      166.5       0.01     3.9       0.15 
     1987:08       0.14       0.7      166.9       0.01     2.8       0.17 
     1987:09       0.47      -0.9      166.5       0.07     3.3       0.15 
     1987:10       0.38      -0.5      168.0       0.01     2.5       0.18 
     1987:11       0.45      -0.9      168.6       0.01     2.2       0.18 
     1987:12       0.18       0.3      169.7       0.01     2.4       0.19 
     1988:01       0.14       0.1      169.7       0.03     0.0       0.31 
     1988:02       0.03       2.1      170.7       0.01     3.3       0.16 
     1988:03       0.03       2.9      171.4       0.01     4.4       0.11 
     1988:04       0.05       2.8      172.3       0.01     3.8       0.15 
     1988:05       0.07       2.7      172.3       0.02     2.2       0.18 
     1988:06       0.05       2.8      172.7       0.02     4.1       0.17 
     1988:07       0.09       1.4      173.3       0.01     2.2       0.21 
     1988:08       0.08       1.1      173.6       0.01     2.4       0.19 
     1988:09       0.09       1.5      173.7       0.04     2.1       0.19 
     1988:10       0.07       2.6      174.6       0.01     2.5       0.14 
     1988:11       0.12       3.0      175.2       0.01     3.8       0.11 
     1988:12       0.13       2.6      176.3       0.01     4.0       0.12 
     1989:01       0.13       2.5      177.0       0.01     4.0       0.14 
     1989:02       0.19       0.6      176.4       0.10     2.2       0.21 
     1989:03       0.21      -0.0      176.8       0.03     0.3       0.31 
     1989:04       0.08       1.8      177.4       0.02     1.2       0.21 
     1989:05       0.06       2.4      176.7       0.16     3.1       0.17 
     1989:06       0.08       2.1      176.3       0.27     1.3       0.23 
     1989:07       0.15       1.7      175.4       0.77     0.1       0.29 
     1989:08       0.17       1.4      176.3       0.12     2.4       0.16 
     1989:09       0.21       1.0      176.3       0.17     2.4       0.16 
     1989:10       0.15       1.8      176.1       0.26     2.7       0.16 
     1989:11       0.11       2.7      177.2       0.04     4.1       0.12 
     1989:12       0.05       4.2      177.4       0.03     4.3       0.10 
     1990:01       0.03       6.6      177.1       0.14     8.1       0.05 
     1990:02       0.10       3.7      178.0       0.02     3.7       0.15 
     1990:03       0.16       0.8      178.6       0.01    -0.9       0.31 
     1990:04       0.26      -0.3      177.6       0.21    -2.2       0.41 
     1990:05       0.22      -0.1      178.3       0.04    -0.1       0.32 
     1990:06       0.14       0.9      178.7       0.04    -0.1       0.27 
     1990:07       0.11       2.0      178.8       0.04     1.1       0.21 
     1990:08       0.17       1.9      178.8       0.06     2.0       0.19 
     1990:09       0.40       0.4      178.2       0.29    -0.2       0.30 
     1990:10       0.50      -0.4      176.9       0.79    -0.5       0.35 
     1990:11       0.53      -0.7      175.4       0.99    -1.2       0.40 
     1990:12       0.44      -0.8      174.8       0.93    -1.8       0.47 
     1991:01       0.42      -1.2      173.5       0.99    -1.7       0.48 
     1991:02       0.33      -0.7      172.9       0.96    -0.6       0.41 
     1991:03       0.24       0.1      172.3       0.95     0.5       0.36 
     1991:04       0.16       0.2      172.8       0.53     1.5       0.29 
     1991:05       0.08       1.2      173.5       0.23     2.0       0.25 
     1991:06       0.06       1.5      174.4       0.01     1.1       0.27 
     1991:07       0.03       2.3      174.6       0.03     2.7       0.22 
     1991:08       0.03       2.6      174.8       0.04     1.1       0.25 
     1991:09       0.04       2.4      175.5       0.01     1.3       0.24 
     1991:10       0.06       1.9      175.3       0.07     1.5       0.23 
     1991:11       0.09       2.0      175.2       0.09     0.0       0.30 
     1991:12       0.03       3.9      174.4       0.39     1.7       0.24 
     1992:01       0.01       4.6      174.7       0.14     2.8       0.20 
     1992:02       0.01       4.4      175.4       0.05     2.6       0.19 
     1992:03       0.02       2.8      176.1       0.01     2.5       0.22 
     1992:04       0.01       2.8      177.0       0.01     2.8       0.21 
     1992:05       0.02       2.4      177.2       0.01     1.5       0.23 
     1992:06       0.02       2.5      177.3       0.03     2.2       0.20 
     1992:07       0.02       3.7      178.1       0.01     2.6       0.18 
     1992:08       0.03       3.3      177.4       0.12     0.2       0.28 
     1992:09       0.01       4.5      178.1       0.03     2.5       0.20 
     1992:10       0.01       3.9      178.8       0.01     2.4       0.21 
     1992:11       0.01       2.9      179.6       0.01     2.0       0.23 
     1992:12       0.01       3.2      181.5       0.01     4.3       0.17 
     1993:01       0.02       3.0      180.5       0.15     2.3       0.21 
     1993:02       0.02       3.5      180.8       0.07     1.9       0.22 
     1993:03       0.05       2.1      180.6       0.15     0.9       0.27 
     1993:04       0.03       2.7      181.7       0.02     1.2       0.22 
     1993:05       0.04       2.9      181.9       0.03     1.4       0.23 
     1993:06       0.03       3.4      182.6       0.01     3.3       0.17 
     1993:07       0.02       4.1      182.6       0.04     3.1       0.16 
     1993:08       0.02       4.3      182.7       0.06     3.6       0.14 
     1993:09       0.01       4.7      183.7       0.01     5.1       0.12 
     1993:10       0.01       4.5      184.4       0.01     4.0       0.13 
     1993:11       0.01       4.6      185.2       0.01     4.6       0.13 
     1993:12       0.01       5.5      187.2       0.01     5.4       0.11 
     1994:01       0.02       4.6      186.0       0.16     2.2       0.18 
     1994:02       0.02       4.9      186.4       0.05     1.4       0.23 
     1994:03       0.02       5.0      188.4       0.01     3.2       0.15 
     1994:04       0.04       4.4      189.6       0.01     4.7       0.11 
     1994:05       0.07       3.2      190.6       0.01     4.5       0.12 
     1994:06       0.08       2.9      191.1       0.01     3.9       0.14 
     1994:07       0.06       2.8      191.5       0.01     2.3       0.16 
     1994:08       0.04       3.4      192.5       0.01     4.1       0.13 
     1994:09       0.04       4.1      193.1       0.01     3.4       0.13 
     1994:10       0.05       3.6      194.3       0.01     3.5       0.14 
     1994:11       0.16       2.0      195.0       0.01     3.9       0.15 
     1994:12       0.09       2.2      196.4       0.01     3.9       0.14 
     1995:01       0.09       1.5      197.2       0.01     2.7       0.19 
     1995:02       0.12       1.2      197.1       0.03     0.8       0.25 
     1995:03       0.14       1.7      196.9       0.06     0.6       0.24 
     1995:04       0.11       2.8      196.5       0.16     1.6       0.20 
     1995:05       0.09       3.1      196.6       0.10     3.1       0.16 
     1995:06       0.04       3.6      197.5       0.03     2.3       0.16 
     1995:07       0.04       3.9      197.4       0.08     3.1       0.15 
     1995:08       0.04       3.7      198.9       0.01     5.4       0.11 
     1995:09       0.05       2.9      199.4       0.01     4.8       0.12 
