Historical Values of the NBER Experimental Recession Index (XRI),
Experimental Leading Index (XLI), Experimental  Coincident Index (XCI),
Experimental Coincident Recession Index (XRIC)
alternative nonfinancial  Experimental Leading Index-2 (XLI-2), and
alternative  nonfinancial Experimental Leading Recession Index-2 (XRI-2).
Data are monthly


Last Updated:  9/06/02

     date          XRI        XLI       XCI       XRI-C     XLI-2     XRI-2
     1959:02          .       2.9       71.5          .     2.9          . 
     1959:03          .       2.9       71.7          .     2.9          . 
     1959:04          .       2.9       73.1       0.01     2.9          . 
     1959:05          .       2.9       74.0       0.01     2.9          . 
     1959:06          .       2.9       74.2       0.01     2.9          . 
     1959:07          .       2.9       73.5       0.24     2.9          . 
     1959:08          .       2.9       72.0       0.91     2.9          . 
     1959:09          .       2.9       71.7       0.94     2.9          . 
     1959:10          .       2.9       71.4       0.93     2.9          . 
     1959:11          .       2.9       71.8       0.18     2.9          . 
     1959:12          .       2.9       74.2       0.01     2.9          . 
     1960:01          .       2.9       75.3       0.01     2.9          . 
     1960:02          .       4.9       75.2       0.03    -1.0          . 
     1960:03          .       2.1       74.7       0.37    -0.9          . 
     1960:04          .       0.2       74.5       0.51    -1.2          . 
     1960:05          .      -2.1       74.2       0.71    -0.6          . 
     1960:06          .      -3.0       73.8       0.93     0.1          . 
     1960:07          .      -2.6       73.6       0.83     1.2          . 
     1960:08          .      -0.5       73.5       0.70     1.7          . 
     1960:09          .      -0.5       73.3       0.84     1.5          . 
     1960:10          .      -0.8       73.2       0.74     0.9          . 
     1960:11          .      -1.5       72.7       0.97    -0.8          . 
     1960:12          .      -0.5       71.6       0.99    -0.9          . 
     1961:01       0.24       1.0       71.4       0.92    -0.6       0.33 
     1961:02       0.30      -0.2       71.3       0.76     1.1       0.27 
     1961:03       0.14       1.1       71.8       0.18     3.2       0.17 
     1961:04       0.05       3.0       72.3       0.02     4.2       0.18 
     1961:05       0.02       4.5       73.0       0.01     3.7       0.18 
     1961:06       0.01       6.2       73.8       0.01     5.3       0.16 
     1961:07       0.01       6.2       74.2       0.01     4.2       0.18 
     1961:08       0.01       7.0       74.8       0.01     4.7       0.16 
     1961:09       0.01       5.7       74.8       0.02     3.0       0.22 
     1961:10       0.01       6.1       75.7       0.01     3.3       0.21 
     1961:11       0.01       6.3       76.6       0.01     4.0       0.18 
     1961:12       0.01       6.0       77.1       0.01     4.6       0.17 
     1962:01       0.01       6.3       76.6       0.13     2.4       0.24 
     1962:02       0.01       7.2       77.2       0.02     4.7       0.16 
     1962:03       0.01       5.5       77.8       0.01     1.8       0.24 
     1962:04       0.02       4.9       78.3       0.01     1.8       0.17 
     1962:05       0.06       3.0       78.4       0.01     1.4       0.23 
     1962:06       0.07       3.0       78.3       0.05     1.7       0.22 
     1962:07       0.06       3.0       78.6       0.02     2.6       0.16 
     1962:08       0.06       2.4       78.7       0.03     2.9       0.14 
     1962:09       0.03       3.7       79.0       0.01     2.9       0.14 
     1962:10       0.03       4.1       79.1       0.02     2.5       0.17 
     1962:11       0.03       4.0       79.5       0.01     3.2       0.14 
     1962:12       0.02       4.6       79.3       0.05     3.6       0.13 
     1963:01       0.01       5.2       79.5       0.03     3.7       0.14 
     1963:02       0.01       6.0       80.0       0.01     4.6       0.13 
     1963:03       0.01       6.5       80.4       0.01     4.8       0.12 
     1963:04       0.01       6.8       81.0       0.01     5.0       0.13 
     1963:05       0.01       7.8       81.5       0.01     4.4       0.12 
     1963:06       0.01       6.3       81.8       0.01     2.7       0.15 
     1963:07       0.04       4.7       81.9       0.02     1.2       0.18 
     1963:08       0.08       3.3       82.0       0.03     2.8       0.15 
     1963:09       0.06       4.1       82.4       0.01     4.5       0.10 
     1963:10       0.05       4.2       82.9       0.01     4.9       0.09 
     1963:11       0.05       3.5       83.0       0.01     4.1       0.12 
     1963:12       0.03       4.5       83.2       0.01     3.1       0.12 
     1964:01       0.03       5.1       83.3       0.01     3.6       0.16 
     1964:02       0.02       6.2       84.0       0.01     4.8       0.10 
     1964:03       0.03       4.9       84.2       0.01     3.8       0.15 
     1964:04       0.05       3.5       85.1       0.01     3.0       0.17 
     1964:05       0.05       3.4       85.5       0.01     4.0       0.15 
     1964:06       0.04       4.0       85.8       0.01     3.8       0.14 
     1964:07       0.02       5.6       86.2       0.01     5.3       0.13 
     1964:08       0.01       6.8       86.5       0.01     5.2       0.14 
     1964:09       0.01       6.3       86.9       0.01     3.1       0.20 
     1964:10       0.03       5.0       86.4       0.15     1.4       0.27 
     1964:11       0.03       5.9       87.7       0.01     3.7       0.20 
     1964:12       0.04       4.6       88.8       0.01     2.7       0.24 
     1965:01       0.02       4.9       89.5       0.01     4.0       0.17 
     1965:02       0.03       4.9       89.9       0.01     3.5       0.20 
     1965:03       0.02       5.0       90.7       0.01     3.9       0.18 
     1965:04       0.02       5.5       91.1       0.01     3.0       0.21 
     1965:05       0.02       4.7       91.5       0.01     3.4       0.19 
     1965:06       0.02       5.4       91.7       0.01     4.6       0.16 
     1965:07       0.02       5.4       92.3       0.01     3.8       0.17 
     1965:08       0.02       5.2       92.7       0.01     2.9       0.18 
     1965:09       0.02       5.8       92.9       0.01     3.3       0.17 
     1965:10       0.01       6.8       93.8       0.01     5.1       0.12 
     1965:11       0.01       7.5       94.5       0.01     6.1       0.12 
     1965:12       0.01       7.9       95.5       0.01     7.4       0.14 
     1966:01       0.01       8.1       96.2       0.01     5.7       0.15 
     1966:02       0.02       6.6       96.7       0.01     2.7       0.26 
     1966:03       0.01       6.7       97.7       0.01     3.6       0.23 
     1966:04       0.02       5.7       97.8       0.01     2.5       0.25 
     1966:05       0.06       3.5       98.0       0.01     0.6       0.30 
     1966:06       0.20       0.7       98.5       0.01    -0.0       0.35 
     1966:07       0.28       0.0       98.8       0.01     0.7       0.32 
     1966:08       0.13       1.5       99.0       0.01     0.5       0.34 
     1966:09       0.07       2.5       99.4       0.01    -0.1       0.38 
     1966:10       0.07       2.2       99.9       0.01    -0.6       0.40 
     1966:11       0.14       1.9       99.8       0.05    -0.8       0.41 
     1966:12       0.27       0.3      100.0       0.03     0.7       0.34 
     1967:01       0.20       1.5      100.4       0.01     2.8       0.16 
     1967:02       0.58      -1.5       99.8       0.20     2.3       0.24 
     1967:03       0.53      -1.7       99.7       0.21     1.6       0.26 
     1967:04       0.21       0.1       99.9       0.07     2.4       0.20 
     1967:05       0.08       2.0       99.6       0.28     2.9       0.17 
     1967:06       0.01       5.7      100.0       0.07     4.7       0.10 
     1967:07       0.02       5.8      100.0       0.10     4.6       0.12 
     1967:08       0.02       6.3      101.0       0.01     5.0       0.11 
     1967:09       0.03       5.5      101.1       0.02     4.4       0.11 
     1967:10       0.02       6.2      101.4       0.02     4.1       0.13 
     1967:11       0.02       5.6      102.5       0.01     4.7       0.14 
     1967:12       0.01       6.0      103.5       0.01     3.7       0.14 
     1968:01       0.01       5.8      103.3       0.03     1.3       0.27 
     1968:02       0.01       7.0      103.7       0.01     3.3       0.16 
     1968:03       0.01       7.4      103.9       0.01     3.5       0.14 
     1968:04       0.05       4.8      104.1       0.02     2.6       0.18 
     1968:05       0.07       4.0      104.8       0.01     3.6       0.15 
     1968:06       0.09       2.6      105.3       0.01     3.1       0.15 
     1968:07       0.10       1.9      105.8       0.01     3.5       0.15 
     1968:08       0.08       3.0      105.9       0.01     3.8       0.13 
     1968:09       0.03       5.0      106.2       0.01     5.2       0.09 
     1968:10       0.03       5.0      106.6       0.01     5.2       0.10 
     1968:11       0.02       5.2      107.4       0.01     6.2       0.11 
     1968:12       0.05       4.0      107.6       0.01     3.1       0.17 
     1969:01       0.04       4.8      107.9       0.01     3.3       0.15 
     1969:02       0.04       5.3      108.3       0.01     4.0       0.14 
     1969:03       0.10       3.2      108.9       0.01     2.9       0.16 
     1969:04       0.20       1.9      109.0       0.02     3.3       0.17 
     1969:05       0.52      -0.8      109.1       0.03     2.6       0.23 
     1969:06       0.61      -1.8      109.6       0.01     2.6       0.21 
     1969:07       0.56      -1.9      109.9       0.01     0.8       0.27 
     1969:08       0.52      -1.7      110.5       0.01     1.4       0.24 
     1969:09       0.63      -2.1      110.7       0.01     0.9       0.27 
     1969:10       0.54      -1.8      111.0       0.01     1.9       0.25 
     1969:11       0.55      -1.7      110.3       0.21     0.7       0.31 
     1969:12       0.42      -0.4      110.2       0.20     0.6       0.36 
     1970:01       0.78      -3.1      109.0       0.89    -2.1       0.50 
     1970:02       0.77      -3.3      108.9       0.58    -0.9       0.40 
     1970:03       0.61      -2.0      108.7       0.59    -0.1       0.34 
     1970:04       0.61      -1.7      108.5       0.63     1.3       0.26 
     1970:05       0.68      -2.0      108.3       0.58     3.2       0.23 
     1970:06       0.80      -3.0      108.1       0.66     0.8       0.34 
     1970:07       0.57      -2.4      108.4       0.27     0.6       0.25 
     1970:08       0.20      -0.1      108.3       0.38     1.9       0.18 
     1970:09       0.09       1.7      107.5       0.82     2.7       0.17 
     1970:10       0.10       2.1      106.3       0.99     2.8       0.15 
     1970:11       0.13       2.2      105.7       0.99     1.9       0.20 
     1970:12       0.02       4.1      107.1       0.10     6.7       0.05 
     1971:01       0.01       3.5      107.9       0.04     5.8       0.07 
     1971:02       0.01       3.1      108.1       0.04     3.9       0.10 
     1971:03       0.01       4.3      108.2       0.04     5.5       0.06 
     1971:04       0.01       5.4      108.6       0.01     5.2       0.08 
     1971:05       0.01       7.0      109.0       0.01     6.2       0.05 
     1971:06       0.01       7.2      109.4       0.01     5.6       0.06 
     1971:07       0.03       6.1      109.1       0.08     7.0       0.04 
     1971:08       0.05       4.8      109.1       0.08     5.1       0.06 
     1971:09       0.04       4.5      109.9       0.01     5.9       0.06 
     1971:10       0.02       4.7      110.1       0.01     5.0       0.06 
     1971:11       0.01       5.7      111.0       0.01     6.7       0.04 
     1971:12       0.01       6.3      112.1       0.01     8.1       0.03 
     1972:01       0.01       8.0      113.5       0.01     8.2       0.03 
     1972:02       0.01       8.0      113.9       0.01     6.7       0.04 
     1972:03       0.01       6.0      114.7       0.01     6.3       0.05 
     1972:04       0.01       6.0      115.8       0.01     6.7       0.05 
     1972:05       0.01       5.5      116.0       0.01     4.9       0.07 
     1972:06       0.01       5.7      116.2       0.02     6.7       0.04 
     1972:07       0.01       7.2      116.3       0.02     6.8       0.04 
