Historical Values of the NBER Experimental Recession Index (XRI),
Experimental Leading Index (XLI), Experimental  Coincident Index (XCI),
Experimental Coincident Recession Index (XRIC)
alternative nonfinancial  Experimental Leading Index-2 (XLI-2), and
alternative  nonfinancial Experimental Leading Recession Index-2 (XRI-2).
Data are monthly


Last Updated:  7/08/03

     date          XRI        XLI       XCI       XRI-C     XLI-2     XRI-2
     1967:05       0.08       1.9       99.6       0.29     2.5       0.18 
     1967:06       0.01       5.6      100.0       0.07     4.5       0.11 
     1967:07       0.02       5.7      100.0       0.10     4.5       0.12 
     1967:08       0.02       6.3      101.0       0.01     5.1       0.11 
     1967:09       0.03       5.5      101.1       0.02     4.6       0.11 
     1967:10       0.02       6.3      101.4       0.02     4.3       0.12 
     1967:11       0.02       5.8      102.5       0.01     4.9       0.13 
     1967:12       0.01       6.1      103.5       0.01     3.7       0.14 
     1968:01       0.01       6.1      103.3       0.03     1.3       0.26 
     1968:02       0.01       7.2      103.7       0.01     3.4       0.15 
     1968:03       0.01       7.5      104.0       0.01     3.5       0.14 
     1968:04       0.05       4.8      104.1       0.02     2.5       0.17 
     1968:05       0.07       3.9      104.8       0.01     3.5       0.15 
     1968:06       0.09       2.5      105.3       0.01     2.9       0.15 
     1968:07       0.10       1.9      105.8       0.01     3.4       0.16 
     1968:08       0.08       3.0      105.9       0.01     3.8       0.13 
     1968:09       0.03       5.0      106.3       0.01     5.3       0.08 
     1968:10       0.03       5.1      106.7       0.01     5.4       0.10 
     1968:11       0.02       5.3      107.5       0.01     6.4       0.11 
     1968:12       0.04       4.3      107.6       0.01     3.3       0.16 
     1969:01       0.03       5.1      108.0       0.01     3.5       0.15 
     1969:02       0.03       5.6      108.3       0.01     4.2       0.13 
     1969:03       0.08       3.5      108.9       0.01     3.0       0.16 
     1969:04       0.19       1.8      109.0       0.02     3.1       0.16 
     1969:05       0.53      -0.9      109.1       0.03     2.4       0.23 
     1969:06       0.62      -1.8      109.6       0.01     2.4       0.21 
     1969:07       0.57      -1.9      110.0       0.01     0.6       0.28 
     1969:08       0.52      -1.8      110.5       0.01     1.4       0.24 
     1969:09       0.62      -2.1      110.7       0.01     1.1       0.27 
     1969:10       0.47      -1.5      111.0       0.01     2.3       0.24 
     1969:11       0.49      -1.5      110.3       0.21     1.0       0.30 
     1969:12       0.38      -0.2      110.2       0.20     0.7       0.35 
     1970:01       0.76      -2.8      109.0       0.89    -2.1       0.49 
     1970:02       0.75      -3.0      108.9       0.58    -1.0       0.41 
     1970:03       0.59      -1.8      108.7       0.60    -0.1       0.34 
     1970:04       0.61      -1.7      108.5       0.64     1.2       0.26 
     1970:05       0.67      -1.9      108.3       0.58     3.1       0.23 
     1970:06       0.79      -3.0      108.1       0.66     0.8       0.34 
     1970:07       0.57      -2.4      108.4       0.26     0.5       0.25 
     1970:08       0.21      -0.2      108.3       0.38     1.7       0.18 
     1970:09       0.09       1.6      107.5       0.82     2.6       0.17 
     1970:10       0.09       2.4      106.3       0.99     3.2       0.14 
     1970:11       0.11       2.3      105.7       0.99     2.2       0.18 
     1970:12       0.02       4.0      107.1       0.10     6.6       0.05 
     1971:01       0.01       3.4      107.9       0.03     5.4       0.07 
     1971:02       0.01       3.2      108.1       0.04     3.7       0.10 
     1971:03       0.01       4.6      108.2       0.04     5.7       0.06 
     1971:04       0.01       5.3      108.6       0.01     5.4       0.07 
     1971:05       0.01       7.0      109.0       0.01     6.3       0.04 
     1971:06       0.01       7.2      109.4       0.01     5.5       0.06 
     1971:07       0.02       6.2      109.1       0.08     6.8       0.04 
     1971:08       0.05       5.0      109.1       0.08     5.2       0.06 
     1971:09       0.03       4.5      109.9       0.01     5.9       0.06 
     1971:10       0.02       4.6      110.1       0.01     5.1       0.06 
     1971:11       0.01       5.4      111.0       0.01     6.3       0.04 
     1971:12       0.01       6.3      112.1       0.01     7.9       0.03 
     1972:01       0.01       8.1      113.6       0.01     8.2       0.03 
     1972:02       0.01       8.1      114.1       0.01     7.0       0.04 
     1972:03       0.01       5.9      114.8       0.01     6.5       0.05 
     1972:04       0.01       5.8      115.7       0.01     6.4       0.05 
     1972:05       0.01       5.6      116.0       0.01     4.7       0.07 
     1972:06       0.01       5.6      116.2       0.02     6.3       0.04 
     1972:07       0.01       7.0      116.3       0.02     6.6       0.04 
     1972:08       0.01       8.1      117.5       0.01     8.0       0.04 
     1972:09       0.01       8.8      118.4       0.01     9.5       0.03 
     1972:10       0.01       9.6      119.8       0.01     9.1       0.04 
     1972:11       0.01       9.0      121.0       0.01     6.8       0.06 
     1972:12       0.01      10.8      122.2       0.01     8.2       0.04 
     1973:01       0.01       8.9      122.8       0.01     7.7       0.06 
     1973:02       0.03       6.7      123.9       0.01     6.9       0.06 
     1973:03       0.08       4.6      124.2       0.01     4.3       0.10 
     1973:04       0.11       3.1      124.1       0.04     2.4       0.15 
     1973:05       0.08       3.7      124.5       0.02     3.0       0.13 
     1973:06       0.25       2.7      124.6       0.03     4.5       0.08 
     1973:07       0.69      -0.9      125.2       0.01     3.0       0.14 
     1973:08       0.85      -2.1      124.7       0.13     2.9       0.17 
     1973:09       0.65      -1.7      125.2       0.02     2.5       0.21 
     1973:10       0.40      -1.8      126.0       0.01    -0.5       0.39 
     1973:11       0.32      -2.5      127.1       0.01     0.7       0.35 
     1973:12       0.20      -1.6      127.0       0.03     0.0       0.40 
     1974:01       0.11       0.2      126.4       0.27     0.0       0.41 
     1974:02       0.16       1.5      125.9       0.58     0.8       0.34 
     1974:03       0.44       1.7      125.8       0.47     2.3       0.22 
     1974:04       0.88      -1.2      125.0       0.89     0.2       0.35 
     1974:05       0.96      -3.4      125.7       0.18     0.3       0.36 
     1974:06       1.00      -8.1      125.8       0.17     0.3       0.36 
     1974:07       0.99      -8.6      125.9       0.14    -1.0       0.46 
     1974:08       0.99     -11.0      125.0       0.68    -2.5       0.59 
     1974:09       0.96     -10.5      124.7       0.63    -3.4       0.56 
     1974:10       0.90      -8.8      124.3       0.81    -3.6       0.52 
     1974:11       0.97     -10.5      121.9       0.99    -5.3       0.52 
     1974:12       0.84      -6.3      119.1       0.99    -4.5       0.43 
     1975:01       0.82      -5.7      117.9       0.99    -4.5       0.48 
     1975:02       0.80      -5.4      116.3       0.99    -4.3       0.43 
     1975:03       0.71      -3.2      115.1       0.99    -1.2       0.37 
     1975:04       0.28      -0.3      115.0       0.90     2.8       0.21 
     1975:05       0.04       2.8      115.1       0.69     3.6       0.19 
     1975:06       0.02       3.8      115.7       0.23     3.6       0.19 
     1975:07       0.01       5.5      116.1       0.05     4.8       0.16 
     1975:08       0.01       5.3      117.3       0.01     4.3       0.21 
     1975:09       0.01       5.0      118.3       0.01     3.1       0.23 
     1975:10       0.01       5.5      118.7       0.01     2.4       0.24 
     1975:11       0.01       5.6      118.9       0.01     1.6       0.25 
     1975:12       0.01       6.0      119.8       0.01     1.7       0.25 
     1976:01       0.01       6.3      121.4       0.01     3.5       0.20 
     1976:02       0.01       6.2      122.4       0.01     2.9       0.23 
     1976:03       0.01       6.1      122.7       0.01     2.6       0.24 
     1976:04       0.01       6.5      123.2       0.01     2.3       0.26 
     1976:05       0.01       5.4      123.5       0.01     1.3       0.27 
     1976:06       0.01       4.8      123.7       0.02     1.7       0.26 
     1976:07       0.01       6.6      124.2       0.01     2.0       0.21 
     1976:08       0.01       7.0      124.4       0.01     2.9       0.17 
     1976:09       0.01       8.0      124.7       0.01     4.6       0.10 
     1976:10       0.01       6.9      124.8       0.03     3.4       0.13 
     1976:11       0.01       7.3      126.1       0.01     4.8       0.10 
     1976:12       0.01       7.6      127.2       0.01     5.3       0.11 
     1977:01       0.01       6.3      126.7       0.08     3.2       0.18 
     1977:02       0.01       7.7      128.1       0.01     5.2       0.13 
     1977:03       0.01       8.4      129.3       0.01     5.0       0.09 
     1977:04       0.01       8.4      130.1       0.01     5.6       0.09 
     1977:05       0.01       7.6      130.8       0.01     5.4       0.09 
     1977:06       0.01       7.7      131.3       0.01     5.8       0.07 
     1977:07       0.01       6.4      131.9       0.01     4.8       0.10 
     1977:08       0.01       6.1      132.2       0.01     5.1       0.08 
     1977:09       0.02       6.0      132.9       0.01     4.6       0.10 
     1977:10       0.02       6.0      133.6       0.01     4.5       0.08 
     1977:11       0.02       6.7      134.2       0.01     6.2       0.07 
     1977:12       0.02       6.9      134.5       0.01     6.3       0.07 
     1978:01       0.05       5.2      133.1       0.30     3.5       0.13 
     1978:02       0.05       5.1      133.8       0.04     3.7       0.14 
     1978:03       0.04       5.5      135.7       0.01     4.8       0.10 
     1978:04       0.02       6.7      138.7       0.01     7.6       0.06 
     1978:05       0.05       4.8      139.3       0.01     6.2       0.09 
     1978:06       0.04       5.3      140.0       0.01     7.0       0.06 
     1978:07       0.12       3.5      139.9       0.03     3.6       0.11 
     1978:08       0.16       2.8      140.3       0.01     2.0       0.15 
     1978:09       0.20       2.8      140.6       0.02     3.3       0.11 
     1978:10       0.27       3.1      141.4       0.01     5.6       0.09 
     1978:11       0.20       3.2      142.4       0.01     6.6       0.09 
     1978:12       0.12       3.8      143.2       0.01     5.4       0.10 
     1979:01       0.31       0.4      142.7       0.09     0.1       0.35 
     1979:02       0.26       0.5      142.8       0.05    -0.1       0.32 
     1979:03       0.05       4.5      143.8       0.01     4.0       0.12 
     1979:04       0.06       4.0      142.0       0.35     2.7       0.22 
     1979:05       0.07       4.4      143.3       0.02     3.6       0.16 
     1979:06       0.10       3.7      143.5       0.03     2.5       0.18 
     1979:07       0.27       1.8      143.8       0.03     0.8       0.23 
     1979:08       0.61       0.1      143.5       0.15     1.7       0.19 
     1979:09       0.82      -0.8      143.3       0.20     3.3       0.14 
     1979:10       0.94      -3.6      143.5       0.08     2.4       0.18 
     1979:11       0.95      -5.2      143.6       0.08     0.3       0.31 
     1979:12       0.91      -5.0      143.8       0.06    -0.9       0.33 
     1980:01       0.88      -3.6      144.2       0.02     0.7       0.24 
     1980:02       0.99      -4.4      144.0       0.12     0.1       0.29 
     1980:03       0.99      -8.3      143.0       0.55    -2.8       0.47 
     1980:04       0.66      -5.9      140.8       0.99    -4.8       0.60 
     1980:05       0.56      -4.3      138.6       0.99    -6.0       0.54 
     1980:06       0.34      -0.9      137.5       0.99    -1.3       0.32 
     1980:07       0.32       2.1      136.8       0.99     3.7       0.14 
     1980:08       0.32       2.2      137.7       0.38     6.6       0.09 
     1980:09       0.28       3.0      139.3       0.09     8.2       0.07 
     1980:10       0.56       0.7      141.1       0.01     6.8       0.13 
     1980:11       0.90      -2.1      142.6       0.01     4.2       0.17 
     1980:12       0.75      -2.3      143.2       0.01     1.6       0.27 
     1981:01       0.48      -0.8      143.2       0.03    -0.7       0.37 
     1981:02       0.32      -0.2      142.7       0.16    -1.2       0.42 
     1981:03       0.32       0.6      142.7       0.10    -0.0       0.36 
     1981:04       0.74      -1.3      141.7       0.60     0.3       0.32 
     1981:05       0.71      -2.4      142.1       0.15     1.2       0.29 
     1981:06       0.86      -3.8      142.5       0.06    -1.0       0.47 
     1981:07       0.89      -5.1      143.2       0.01    -1.5       0.48 
     1981:08       0.91      -5.8      143.1       0.05    -1.7       0.47 
     1981:09       0.84      -4.5      141.6       0.61    -2.3       0.50 
     1981:10       0.64      -3.6      141.1       0.83    -3.8       0.57 
     1981:11       0.53      -2.5      140.4       0.95    -3.4       0.58 
     1981:12       0.56      -2.1      139.4       0.99    -2.1       0.51 
     1982:01       0.72      -2.2      137.3       0.99    -2.1       0.54 
     1982:02       0.43      -1.0      139.0       0.25     0.3       0.42 
     1982:03       0.44      -2.0      138.8       0.55     0.0       0.39 
     1982:04       0.48      -2.5      138.4       0.79     0.0       0.40 
     1982:05       0.64      -2.0      138.0       0.89     0.4       0.40 
     1982:06       0.66      -2.3      137.4       0.94    -1.1       0.49 
     1982:07       0.29      -0.3      136.7       0.97    -1.0       0.43 
     1982:08       0.56      -2.4      135.7       0.99    -2.7       0.56 
     1982:09       0.28      -1.8      135.3       0.94    -1.1       0.46 
     1982:10       0.09       1.2      134.3       0.98    -0.4       0.40 
     1982:11       0.07       1.8      134.1       0.89     1.8       0.29 
     1982:12       0.01       4.7      133.8       0.89     4.1       0.16 
     1983:01       0.01       6.7      135.5       0.13     6.4       0.11 
     1983:02       0.01       6.8      134.9       0.71     5.4       0.13 
     1983:03       0.01       7.1      135.9       0.06     4.5       0.16 
     1983:04       0.01       7.7      137.2       0.01     4.5       0.15 
     1983:05       0.01       8.6      138.1       0.01     4.8       0.12 
     1983:06       0.01       8.7      138.9       0.01     7.6       0.10 
     1983:07       0.01       8.3      140.5       0.01     6.7       0.11 
     1983:08       0.01       6.0      140.9       0.01     4.6       0.16 
     1983:09       0.01       5.1      142.6       0.01     2.6       0.22 
     1983:10       0.01       6.8      143.9       0.01     4.1       0.14 
     1983:11       0.01       6.9      144.6       0.01     5.5       0.14 
     1983:12       0.01       6.9      145.9       0.01     4.2       0.16 
     1984:01       0.01       8.4      147.8       0.01     6.0       0.11 
     1984:02       0.01       9.3      148.6       0.01     6.9       0.07 
     1984:03       0.01       7.5      149.1       0.01     5.0       0.13 
     1984:04       0.01       6.1      150.3       0.01     3.8       0.13 
     1984:05       0.03       4.8      150.8       0.01     3.9       0.14 
     1984:06       0.02       4.3      151.4       0.01     3.9       0.12 
     1984:07       0.03       3.1      151.8       0.01     1.7       0.22 
     1984:08       0.02       2.0      152.3       0.01     0.9       0.25 
     1984:09       0.02       2.4      152.4       0.02     0.3       0.26 
     1984:10       0.02       2.5      152.2       0.08     1.2       0.21 
     1984:11       0.01       5.4      152.9       0.02     4.0       0.11 
     1984:12       0.01       6.2      153.3       0.01     3.9       0.12 
     1985:01       0.01       6.6      153.3       0.05     4.7       0.12 
     1985:02       0.01       6.8      153.5       0.03     3.5       0.14 
     1985:03       0.01       5.6      154.0       0.02     3.5       0.11 
     1985:04       0.01       5.4      154.0       0.04     3.3       0.11 
     1985:05       0.01       5.1      154.6       0.01     3.9       0.09 
     1985:06       0.01       5.9      154.5       0.05     4.3       0.08 
