Historical Values of the NBER Experimental Recession Index (XRI),
Experimental Leading Index (xli2), Experimental  Coincident Index (XCI),
alternative nonfinancial  Experimental Leading Index-2 (XLI-2), and
alternative  nonfinancial Experimental Recession Index-2 (XRI-2).
Data are monthly


Last Updated:  8/28/00

     date         XRI       XLI       XCI      XLI-2     XRI-2
     1968:09       0.02       5.0      106.2     5.1       0.07 
     1968:10       0.02       5.0      106.6     5.0       0.08 
     1968:11       0.01       5.2      107.4     6.0       0.10 
     1968:12       0.03       4.1      107.5     3.2       0.13 
     1969:01       0.02       4.8      107.9     3.3       0.13 
     1969:02       0.02       5.3      108.2     4.0       0.11 
     1969:03       0.06       3.3      108.8     2.9       0.14 
     1969:04       0.12       2.0      109.0     3.3       0.13 
     1969:05       0.40      -0.5      109.1     2.6       0.18 
     1969:06       0.49      -1.3      109.6     2.7       0.17 
     1969:07       0.44      -1.4      109.9     0.9       0.22 
     1969:08       0.40      -1.3      110.5     1.6       0.19 
     1969:09       0.50      -1.6      110.7     1.1       0.21 
     1969:10       0.41      -1.4      111.0     2.0       0.19 
     1969:11       0.42      -1.3      110.4     0.9       0.24 
     1969:12       0.29      -0.1      110.3     0.8       0.29 
     1970:01       0.69      -2.6      109.1    -1.8       0.43 
     1970:02       0.66      -2.8      109.0    -0.6       0.32 
     1970:03       0.49      -1.6      108.9     0.1       0.26 
     1970:04       0.49      -1.3      108.7     1.4       0.19 
     1970:05       0.57      -1.6      108.6     3.2       0.18 
     1970:06       0.71      -2.6      108.3     0.9       0.27 
     1970:07       0.44      -1.9      108.6     0.8       0.19 
     1970:08       0.12       0.1      108.5     2.0       0.13 
     1970:09       0.05       1.8      107.8     2.8       0.12 
     1970:10       0.06       2.2      106.6     2.8       0.11 
     1970:11       0.08       2.3      106.0     2.0       0.15 
     1970:12       0.01       4.0      107.3     6.5       0.04 
     1971:01       0.01       3.5      108.2     5.6       0.05 
     1971:02       0.01       3.0      108.3     3.8       0.07 
     1971:03       0.01       4.2      108.5     5.4       0.04 
     1971:04       0.01       5.2      108.8     5.1       0.06 
     1971:05       0.01       6.7      109.2     6.0       0.03 
     1971:06       0.01       6.9      109.6     5.4       0.05 
     1971:07       0.02       5.9      109.3     6.8       0.03 
     1971:08       0.03       4.6      109.4     5.0       0.04 
     1971:09       0.02       4.4      110.1     5.7       0.04 
     1971:10       0.01       4.5      110.3     4.9       0.04 
     1971:11       0.01       5.5      111.2     6.5       0.03 
     1971:12       0.01       6.1      112.3     7.8       0.03 
     1972:01       0.01       7.7      113.7     7.9       0.03 
     1972:02       0.01       7.7      114.1     6.4       0.03 
     1972:03       0.01       5.8      114.9     6.1       0.04 
     1972:04       0.01       5.8      116.0     6.5       0.04 
     1972:05       0.01       5.4      116.1     4.8       0.05 
     1972:06       0.01       5.5      116.3     6.5       0.03 
     1972:07       0.01       6.9      116.5     6.7       0.03 
     1972:08       0.01       8.1      117.7     7.8       0.03 
     1972:09       0.01       8.7      118.7     9.3       0.02 
     1972:10       0.01       9.5      120.2     8.9       0.03 
     1972:11       0.01       9.0      121.4     6.8       0.05 
     1972:12       0.01      10.5      122.4     8.0       0.03 
     1973:01       0.01       8.6      122.7     7.1       0.05 
     1973:02       0.02       6.5      123.8     6.4       0.05 
     1973:03       0.08       4.2      123.9     3.7       0.08 
     1973:04       0.10       3.0      124.2     2.3       0.12 
     1973:05       0.07       3.3      124.4     2.9       0.10 
     1973:06       0.18       2.9      124.8     5.1       0.06 
     1973:07       0.54      -0.3      125.5     3.7       0.11 
     1973:08       0.68      -1.3      125.2     3.6       0.12 
     1973:09       0.44      -0.9      125.7     2.7       0.16 
     1973:10       0.24      -1.1      126.4    -0.5       0.34 
     1973:11       0.22      -1.7      127.3     0.3       0.31 
     1973:12       0.16      -1.3      126.7    -0.7       0.41 
     1974:01       0.12       0.0      125.8    -0.3       0.40 
     1974:02       0.19       1.2      125.3     0.6       0.31 
     1974:03       0.45       1.1      125.2     2.2       0.19 
     1974:04       0.90      -1.8      124.4     0.3       0.30 
     1974:05       0.96      -4.0      125.4     0.3       0.32 
     1974:06       1.00      -8.3      125.7    -0.0       0.34 
     1974:07       0.98      -8.4      125.7    -1.0       0.42 
     1974:08       0.99     -10.4      125.1    -1.6       0.46 
     1974:09       0.93      -9.7      124.9    -2.7       0.44 
     1974:10       0.85      -8.1      124.4    -2.9       0.41 
     1974:11       0.93      -9.2      122.3    -4.2       0.43 
     1974:12       0.74      -5.2      119.4    -4.0       0.38 
     1975:01       0.76      -4.9      117.7    -4.3       0.43 
     1975:02       0.73      -4.3      116.4    -3.5       0.38 
     1975:03       0.65      -2.7      115.0    -1.2       0.31 
     1975:04       0.15       0.4      115.3     3.6       0.11 
     1975:05       0.02       2.9      115.4     4.1       0.13 
     1975:06       0.01       3.9      116.2     4.0       0.14 
     1975:07       0.01       5.5      116.6     4.8       0.14 
     1975:08       0.01       5.4      118.1     4.5       0.17 
     1975:09       0.01       4.9      118.8     2.9       0.20 
     1975:10       0.01       5.1      119.3     2.2       0.21 
     1975:11       0.01       5.3      119.9     1.4       0.23 
     1975:12       0.01       5.6      120.5     1.4       0.22 
     1976:01       0.01       5.9      121.9     3.5       0.17 
     1976:02       0.01       5.9      123.1     3.3       0.18 
     1976:03       0.01       5.6      123.3     2.4       0.22 
     1976:04       0.01       6.3      123.7     2.5       0.24 
     1976:05       0.01       5.5      124.3     2.0       0.23 
     1976:06       0.01       4.7      124.5     1.7       0.22 
     1976:07       0.01       6.5      125.0     2.3       0.17 
     1976:08       0.01       6.9      125.2     3.0       0.14 
     1976:09       0.01       7.8      125.6     4.4       0.09 
     1976:10       0.01       6.5      125.7     2.9       0.12 
     1976:11       0.01       7.0      127.0     4.6       0.08 
     1976:12       0.01       7.3      128.0     5.2       0.10 
     1977:01       0.01       6.4      127.9     3.8       0.13 
     1977:02       0.01       7.3      128.7     4.9       0.11 
     1977:03       0.01       8.1      129.9     5.0       0.07 
     1977:04       0.01       8.4      130.9     5.6       0.07 
     1977:05       0.01       7.5      131.6     5.2       0.07 
     1977:06       0.01       7.7      132.3     5.9       0.06 
     1977:07       0.01       6.3      132.8     5.1       0.07 
     1977:08       0.01       6.1      133.2     5.1       0.06 
     1977:09       0.01       6.0      133.8     4.3       0.08 
     1977:10       0.01       5.8      134.5     4.0       0.06 
     1977:11       0.01       6.6      135.1     6.0       0.05 
     1977:12       0.01       6.7      135.2     6.0       0.05 
     1978:01       0.02       5.3      134.1     3.9       0.09 
     1978:02       0.03       4.8      134.8     3.6       0.12 
     1978:03       0.02       5.1      136.3     4.3       0.08 
     1978:04       0.01       7.0      139.9     8.0       0.04 
     1978:05       0.03       4.6      140.1     5.9       0.08 
     1978:06       0.02       5.3      141.2     7.1       0.04 
     1978:07       0.07       3.6      141.1     3.8       0.09 
     1978:08       0.09       3.0      141.6     2.0       0.12 
     1978:09       0.11       3.2      142.0     3.4       0.08 
     1978:10       0.18       3.4      142.7     5.5       0.07 
     1978:11       0.12       3.6      143.7     6.4       0.07 
     1978:12       0.07       4.2      144.3     5.3       0.08 
     1979:01       0.21       0.8      143.8     0.4       0.29 
     1979:02       0.17       0.8      144.1     0.1       0.25 
     1979:03       0.02       4.5      145.2     3.8       0.11 
     1979:04       0.04       4.1      143.4     2.8       0.19 
     1979:05       0.03       4.7      144.7     3.9       0.13 
     1979:06       0.05       4.0      145.1     2.8       0.14 
     1979:07       0.16       2.3      145.1     1.1       0.19 
     1979:08       0.40       0.8      145.1     2.4       0.14 
     1979:09       0.70      -0.2      144.8     3.3       0.11 
     1979:10       0.91      -3.1      145.1     2.2       0.16 
     1979:11       0.93      -4.6      145.0     0.1       0.28 
     1979:12       0.88      -4.4      145.1    -0.9       0.27 
     1980:01       0.86      -3.5      145.5     0.7       0.20 
     1980:02       0.99      -4.4      145.3     0.1       0.24 
     1980:03       1.00      -7.9      144.4    -2.5       0.41 
     1980:04       0.57      -5.0      142.3    -3.9       0.52 
