"","quarter","mich_year"
"169",2019 Q1,2.36666666666667
"170",2019 Q2,2.76666666666667
"171",2019 Q3,2.9
"172",2019 Q4,2.63333333333333
"173",2020 Q1,3.13333333333333
"174",2020 Q2,4.06666666666667
"175",2020 Q3,4.63333333333333
"176",2020 Q4,4.83333333333333
"177",2021 Q1,5.06666666666667
"178",2021 Q2,5.33333333333333
"179",2021 Q3,4.9
"180",2021 Q4,4.76666666666667
"181",2022 Q1,3.9
"182",2022 Q2,4.06666666666667
"183",2022 Q3,3.36666666666667
"184",2022 Q4,4.35
