"","FirstDate","inflation_punew","inflation_puxhs","inflation_puxx","inflation_pce","quarter"
"71",1964-10-01,0.00304414238122827,0.00304414238122827,0.00309119256967288,0.00324010676249116,"1964-Q4"
"72",1965-01-01,0.00303490369515411,0.00303490369515411,0.00615386557437829,0.00322964236729109,"1965-Q1"
"73",1965-04-01,0.00302572091653711,0.00302572091653711,0.00306278953054573,0.00503687686844347,"1965-Q2"
"74",1965-07-01,0.00902261759963733,0.00902261759963733,0,0.00374600160119498,"1965-Q3"
"75",1965-10-01,0.00298953884836599,0.00298953884836599,0.00305343748689025,0.00301078086168479,"1965-Q4"
"76",1966-01-01,0.00595239852729535,0.00595239852729535,0.00607904607638219,0.00772620858940949,"1966-Q1"
"77",1966-04-01,0.0147278067102434,0.0147278067102434,0.00904983551991786,0.00814051258553168,"1966-Q2"
"78",1966-07-01,0.00291971010333462,0.00291971010333462,0.00896866998276054,0.0076050477078538,"1966-Q3"
"79",1966-10-01,0.0115943327809194,0.0115943327809194,0.0118344576470028,0.00772249786497705,"1966-Q4"
"80",1967-01-01,0.00287769982761497,0.00287769982761497,0.00586511945239806,0.00290968547929002,"1967-Q1"
"81",1967-04-01,0.00286944242795296,0.00286944242795296,0.00583092031079314,0.00469579691242518,"1967-Q2"
"82",1967-07-01,0.00855925339567013,0.00855925339567013,0.00868312257346086,0.00921134895323716,"1967-Q3"
"83",1967-10-01,0.0112995552539332,0.0112995552539332,0.0114614435190066,0.00855925339567013,"1967-Q4"
"84",1968-01-01,0.0111733005981253,0.0111733005981253,0.01133156600955,0.0105689513492341,"1968-Q1"
"85",1968-04-01,0.00829880281469506,0.00829880281469506,0.0112045990128631,0.0101245446027471,"1968-Q2"
"86",1968-07-01,0.0109590137897196,0.0109590137897196,0.0138314791484618,0.0102985241083481,"1968-Q3"
"87",1968-10-01,0.0108402145528648,0.0108402145528648,0.0136427764037865,0.0110110948443622,"1968-Q4"
"88",1969-01-01,0.00805373480709683,0.00805373480709683,0.0107817756032884,0.00970486621570197,"1969-Q1"
"89",1969-04-01,0.0159154553058996,0.0159154553058996,0.0212209554828854,0.0126529674339178,"1969-Q2"
"90",1969-07-01,0.0130720815673527,0.0130720815673527,0.0104439591610833,0.0121791285680231,"1969-Q3"
"91",1969-10-01,0.0103360093306621,0.0103360093306621,0.0154642256975816,0.0115124243757058,"1969-Q4"
"92",1970-01-01,0.0153064212826755,0.0153064212826755,0.0127066512691149,0.0115357045715424,"1970-Q1"
"93",1970-04-01,0.0125787822068602,0.0125787822068602,0.0200006667066694,0.0110481406117807,"1970-Q2"
"94",1970-07-01,0.00995033085316809,0.00995033085316809,0.0123002780816517,0.00966875840773008,"1970-Q3"
"95",1970-10-01,0.00985229644301164,0.00985229644301164,0.0145633641878965,0.0128640060103107,"1970-Q4"
"96",1971-01-01,0.012180418556871,0.012180418556871,0.0143543134516831,0.00940507873197931,"1971-Q1"
"97",1971-04-01,0.00963862883776879,0.00963862883776879,0.00710062154957637,0.0113167159977911,"1971-Q2"
"98",1971-07-01,0.0119190922372103,0.0119190922372103,0.0117234636960592,0.0097438781440936,"1971-Q3"
"99",1971-10-01,0.0047281411959459,0.0047281411959459,0.00465117117573088,0.00615593729712386,"1971-Q4"
"100",1972-01-01,0.00705055799666698,0.00705055799666698,0.00923794098493636,0.0104453290325414,"1972-Q1"
"101",1972-04-01,0.00700119545898356,0.00700119545898356,0.00687287928776205,0.00577188525802387,"1972-Q2"
"102",1972-07-01,0.00695251931488166,0.00695251931488166,0.00682596507039989,0.00873614123155481,"1972-Q3"
"103",1972-10-01,0.00919546709310039,0.00919546709310039,0.00677968698537877,0.00815038393925225,"1972-Q4"
"104",1973-01-01,0.0136365749495454,0.0136365749495454,0.00449438958783927,0.0120794460931217,"1973-Q1"
"105",1973-04-01,0.0245274279962124,0.0245274279962124,0.0111483874826142,0.019064623531315,"1973-Q2"
"106",1973-07-01,0.0131292914417928,0.0131292914417928,0.008830079448272,0.0180899604252906,"1973-Q3"
"107",1973-10-01,0.0278688990087922,0.0278688990087922,0.0174296351352836,0.0203245703383367,"1973-Q4"
"108",1974-01-01,0.0291687345906569,0.0291687345906569,0.0128757143600454,0.0293336175134951,"1974-Q1"
"109",1974-04-01,0.0283419780022749,0.0283419780022749,0.021097828964636,0.0279257488860474,"1974-Q2"
"110",1974-07-01,0.0256171643703003,0.0256171643703003,0.032857165157775,0.0266101816294765,"1974-Q3"
"111",1974-10-01,0.0344202238864794,0.0344202238864794,0.0337668624708175,0.0249895134713209,"1974-Q4"
