"","FirstDate","quarter","group","punew_year","puxhs_year","puxx_year","pce_year"
"26",1958-07-01,1958 Q3,1958,0.0245282093521229,0.0264916154469762,0.0204785313435406,0.0200267903498742
"27",1958-10-01,1958 Q4,1958,0.0206192872027358,0.0231415285616943,0.0169783365344177,0.0144329646916637
"28",1959-01-01,1959 Q1,1959,0.0128362560408678,0.013114942077828,0.0202709643736188,0.0089354269596368
"29",1959-04-01,1959 Q2,1959,0.00138121568919848,0.00326264563481637,0.0168071183163811,0.0111526546148006
"30",1959-07-01,1959 Q3,1959,0.0089593983183574,0.00975617494536468,0.0200675630508091,0.0164423303039129
"31",1959-10-01,1959 Q4,1959,0.0151049902458509,0.0129871955268112,0.023295562603522,0.0223047819345235
"32",1960-01-01,1960 Q1,1960,0.012333147077216,0.012945164592037,0.0198682032167252,0.0168576354026982
"33",1960-04-01,1960 Q2,1960,0.0191393402106972,0.0161554402222852,0.0198026272961797,0.0180149898495256
"34",1960-07-01,1960 Q3,1960,0.0136288310556057,0.0128619136424077,0.0131580845775112,0.0157269526294789
"35",1960-10-01,1960 Q4,1960,0.013536585717533,0.0128206884290613,0.0130720815673528,0.0146834168236181
"36",1961-01-01,1961 Q1,1961,0.0158760301250311,0.0159493014076779,0.00978800636616278,0.0152390025056676
"37",1961-04-01,1961 Q2,1961,0.00909863058674608,0.0127390257774297,0.0097561749453647,0.00987694022192792
"38",1961-07-01,1961 Q3,1961,0.0124434092541692,0.0126985833371273,0.0129871955268112,0.00977674805612262
"39",1961-10-01,1961 Q4,1961,0.00770136068281286,0.00950878796902726,0.00969312920565972,0.00637269554083873
"40",1962-01-01,1962 Q1,1962,0.00668005156037384,0.00630916919326472,0.0129034048359079,0.00883078068030173
"41",1962-04-01,1962 Q2,1962,0.0133290877086005,0.0125787822068601,0.0128619136424077,0.0124942167575396
"42",1962-07-01,1962 Q3,1962,0.00997680373831676,0.00628932890756389,0.0128206884290613,0.0115695932537781
"43",1962-10-01,1962 Q4,1962,0.013254004493175,0.0156497716671278,0.0127797266463989,0.0135653047080317
"44",1963-01-01,1963 Q1,1963,0.0132277060975511,0.0125001627642316,0.00956945101615074,0.0121335534424723
"45",1963-04-01,1963 Q2,1963,0.00889773541986496,0.00623054975063619,0.0126985833371274,0.0102211267639327
"46",1963-07-01,1963 Q3,1963,0.0154329117870514,0.0186340795448929,0.0126583968719235,0.0123068865502506
"47",1963-10-01,1963 Q4,1963,0.0121054970849001,0.00927363678532903,0.0157483569681391,0.0130126668833622
"48",1964-01-01,1964 Q1,1964,0.0162923121514349,0.015408625352845,0.0219789067187753,0.0148242751963658
"49",1964-04-01,1964 Q2,1964,0.0153022683121595,0.015408625352845,0.0156497716671278,0.015353486765617
"50",1964-07-01,1964 Q3,1964,0.0106952891167479,0.00918842605440618,0.0156009404424795,0.0138732687212527
"51",1964-10-01,1964 Q4,1964,0.0119607050576639,0.0122325684356345,0.012422519998557,0.0133949775454446
"52",1965-01-01,1965 Q1,1965,0.0109290705321904,0.00913248356327263,0.0123458358222991,0.0119344113641692
"53",1965-04-01,1965 Q2,1965,0.0137977481742815,0.0121582044798097,0.0154086253528449,0.0148186996834707
"54",1965-07-01,1965 Q3,1965,0.0178918510791033,0.0181273845925568,0.0123078476745969,0.0152526275994207
"55",1965-10-01,1965 Q4,1965,0.0168874492799944,0.0180727810596945,0.0122700925918143,0.0150233016986143
"56",1966-01-01,1966 Q1,1966,0.018999938244904,0.0209902758918358,0.0121952730938182,0.0195198679207327
"57",1966-04-01,1966 Q2,1966,0.0282770960968616,0.0326923616855421,0.0181823190831903,0.0226235036378209
"58",1966-07-01,1966 Q3,1966,0.0271764343226031,0.0265894541892393,0.0271509890659508,0.0264825497444798
"59",1966-10-01,1966 Q4,1966,0.0372135963404343,0.0351942481217928,0.0359320092260634,0.031194266747772
"60",1967-01-01,1967 Q1,1967,0.0314938038493116,0.0321195494221124,0.0357180826020793,0.0263777436376525
"61",1967-04-01,1967 Q2,1967,0.025085438981269,0.020261185139822,0.0324991673929545,0.022933027964546
