"","group","punew_year","puxhs_year","puxx_year","pce_year"
"1",1947,0.0644512268247402,0.0626509649616672,NA,0.0510293273948738
"2",1948,0.0593142918626279,0.0627656955497872,NA,0.0333970799620066
"3",1949,-0.0266793648021393,-0.0387645434502443,NA,-0.0207319598986153
"4",1950,0.0344646940247888,0.0349550150335765,NA,0.0413544931853565
"5",1951,0.0655584090383166,0.0700101655726488,NA,0.0540590206166836
"6",1952,0.0200574368274348,0.0141345109349048,NA,0.0121044649978787
"7",1953,0.00969433393857316,0.00699303549097042,NA,0.015053113884302
"8",1954,-0.00857094868656116,-0.0140353181163835,NA,-0.000718545694492836
"9",1955,0.00373552918508731,0.00352734051796844,NA,0.0107954578361289
"10",1956,0.0254016970829507,0.0243490290102868,NA,0.0263856441009713
"11",1957,0.0290186938890355,0.0271203062191937,0.0242646219996312,0.0286055617405324
"12",1958,0.0206192872027358,0.0231415285616943,0.0169783365344177,0.0144329646916637
"13",1959,0.0151049902458509,0.0129871955268112,0.023295562603522,0.0223047819345235
"14",1960,0.013536585717533,0.0128206884290613,0.0130720815673528,0.0146834168236181
"15",1961,0.00770136068281286,0.00950878796902726,0.00969312920565972,0.00637269554083873
"16",1962,0.013254004493175,0.0156497716671278,0.0127797266463989,0.0135653047080317
"17",1963,0.0121054970849001,0.00927363678532903,0.0157483569681391,0.0130126668833622
"18",1964,0.0119607050576639,0.0122325684356345,0.012422519998557,0.0133949775454446
"19",1965,0.0168874492799944,0.0180727810596945,0.0122700925918143,0.0150233016986143
"20",1966,0.0372135963404343,0.0351942481217928,0.0359320092260634,0.031194266747772
"21",1967,0.0255460924276965,0.0256059509051713,0.0318406058556587,0.0253760847406225
"22",1968,0.046385126580935,0.0412713317554047,0.0500104205746614,0.0420031149046915
"23",1969,0.0551103627105188,0.0473772810110112,0.0579109159448387,0.0460493865933487
"24",1970,0.0547724896541183,0.0476878307857154,0.0595709602453325,0.0451166096013638
"25",1971,0.0373642467448681,0.038466280827796,0.0378295698730496,0.0366216101709878
"26",1972,0.0312901579932102,0.0301997398636326,0.0297164723284771,0.0331037394613723
"27",1973,0.0774874954783742,0.0791621933963429,0.0419024916540091,0.069558600388064
"28",1974,0.111917916203985,0.117548100849712,0.100597570953274,0.10885906150034
"29",1975,0.0736877157911591,0.0742422273730952,0.0679506619085078,0.0657383249499913
