Historical Values of the NBER Experimental Recession Index (XRI),
Experimental Leading Index (XLI), Experimental  Coincident Index (XCI),
Experimental Coincident Recession Index (XRIC)
alternative nonfinancial  Experimental Leading Index-2 (XLI-2), and
alternative  nonfinancial Experimental Leading Recession Index-2 (XRI-2).
Data are monthly


Last Updated:  5/19/03

     date          XRI        XLI       XCI       XRI-C     XLI-2     XRI-2
     1959:02          .       2.9       71.5          .     2.9          . 
     1959:03          .       2.9       71.6          .     2.9          . 
     1959:04          .       2.9       73.1       0.01     2.9          . 
     1959:05          .       2.9       73.9       0.01     2.9          . 
     1959:06          .       2.9       74.2       0.01     2.9          . 
     1959:07          .       2.9       73.4       0.25     2.9          . 
     1959:08          .       2.9       72.0       0.92     2.9          . 
     1959:09          .       2.9       71.6       0.94     2.9          . 
     1959:10          .       2.9       71.3       0.95     2.9          . 
     1959:11          .       2.9       71.7       0.17     2.9          . 
     1959:12          .       2.9       74.2       0.01     2.9          . 
     1960:01          .       2.9       75.2       0.01     2.9          . 
     1960:02          .       4.7       75.1       0.03    -1.0          . 
     1960:03          .       2.1       74.6       0.38    -0.9          . 
     1960:04          .       0.1       74.5       0.53    -1.2          . 
     1960:05          .      -2.2       74.2       0.73    -0.7          . 
     1960:06          .      -3.1       73.7       0.94    -0.1          . 
     1960:07          .      -2.8       73.5       0.83     0.9          . 
     1960:08          .      -0.7       73.5       0.70     1.5          . 
     1960:09          .      -0.9       73.2       0.85     1.2          . 
     1960:10          .      -1.0       73.1       0.74     0.7          . 
     1960:11          .      -1.7       72.6       0.97    -0.8          . 
     1960:12          .      -0.8       71.5       0.99    -0.8          . 
     1961:01       0.24       0.9       71.3       0.92    -0.5       0.32 
     1961:02       0.33      -0.5       71.3       0.76     1.0       0.27 
     1961:03       0.15       1.0       71.7       0.17     3.1       0.17 
     1961:04       0.05       2.8       72.3       0.02     4.0       0.18 
     1961:05       0.02       4.3       72.9       0.01     3.5       0.18 
     1961:06       0.01       6.0       73.8       0.01     5.2       0.16 
     1961:07       0.01       5.8       74.2       0.01     3.9       0.18 
     1961:08       0.01       6.7       74.8       0.01     4.4       0.16 
     1961:09       0.01       5.5       74.8       0.01     2.8       0.23 
     1961:10       0.01       5.9       75.7       0.01     3.3       0.21 
     1961:11       0.01       6.0       76.6       0.01     4.0       0.18 
     1961:12       0.01       5.7       77.0       0.01     4.3       0.17 
     1962:01       0.01       6.0       76.5       0.13     2.1       0.24 
     1962:02       0.01       7.0       77.2       0.01     4.5       0.16 
     1962:03       0.01       5.4       77.7       0.01     1.6       0.24 
     1962:04       0.02       4.7       78.2       0.01     1.7       0.17 
     1962:05       0.06       2.9       78.3       0.01     1.3       0.22 
     1962:06       0.06       2.8       78.3       0.05     1.6       0.22 
     1962:07       0.06       2.8       78.5       0.02     2.4       0.17 
     1962:08       0.06       2.3       78.7       0.02     2.6       0.15 
     1962:09       0.03       3.6       79.0       0.01     2.7       0.14 
     1962:10       0.02       4.0       79.1       0.02     2.5       0.17 
     1962:11       0.03       3.8       79.5       0.01     3.0       0.14 
     1962:12       0.02       4.4       79.3       0.05     3.4       0.13 
     1963:01       0.01       5.0       79.5       0.03     3.5       0.14 
     1963:02       0.01       5.7       80.0       0.01     4.3       0.13 
     1963:03       0.01       6.2       80.4       0.01     4.5       0.13 
     1963:04       0.01       6.4       81.0       0.01     4.7       0.13 
     1963:05       0.01       7.6       81.5       0.01     4.2       0.12 
     1963:06       0.01       6.2       81.8       0.01     2.7       0.15 
     1963:07       0.04       4.5       81.9       0.02     1.2       0.18 
     1963:08       0.07       3.3       81.9       0.03     2.8       0.15 
     1963:09       0.05       4.0       82.4       0.01     4.3       0.10 
     1963:10       0.05       4.3       82.9       0.01     4.8       0.09 
     1963:11       0.05       3.6       83.0       0.01     4.1       0.12 
     1963:12       0.03       4.5       83.2       0.01     3.0       0.12 
     1964:01       0.02       5.1       83.3       0.01     3.4       0.16 
     1964:02       0.01       6.2       84.0       0.01     4.6       0.10 
     1964:03       0.03       5.0       84.1       0.01     3.7       0.15 
     1964:04       0.04       3.5       85.0       0.01     2.9       0.17 
     1964:05       0.04       3.4       85.5       0.01     3.9       0.15 
     1964:06       0.03       3.9       85.8       0.01     3.6       0.14 
     1964:07       0.02       5.5       86.2       0.01     5.0       0.13 
     1964:08       0.01       6.6       86.5       0.01     4.9       0.15 
     1964:09       0.01       6.1       86.9       0.01     2.9       0.20 
     1964:10       0.03       5.0       86.3       0.16     1.3       0.27 
     1964:11       0.02       5.9       87.7       0.01     3.7       0.20 
     1964:12       0.03       4.5       88.8       0.01     2.6       0.24 
     1965:01       0.02       5.0       89.5       0.01     3.9       0.17 
     1965:02       0.02       5.0       89.9       0.01     3.3       0.20 
     1965:03       0.02       5.1       90.7       0.01     3.8       0.18 
     1965:04       0.01       5.5       91.1       0.01     2.7       0.22 
     1965:05       0.02       4.7       91.5       0.01     3.2       0.19 
     1965:06       0.02       5.4       91.7       0.01     4.5       0.16 
     1965:07       0.02       5.3       92.3       0.01     3.6       0.17 
     1965:08       0.02       5.2       92.7       0.01     2.8       0.19 
     1965:09       0.02       5.8       92.9       0.01     3.2       0.17 
     1965:10       0.01       6.9       93.8       0.01     5.0       0.13 
     1965:11       0.01       7.5       94.5       0.01     5.9       0.12 
     1965:12       0.01       7.8       95.5       0.01     7.2       0.14 
     1966:01       0.01       8.1       96.2       0.01     5.5       0.15 
     1966:02       0.01       6.6       96.7       0.01     2.6       0.27 
     1966:03       0.01       6.8       97.7       0.01     3.5       0.22 
     1966:04       0.02       5.8       97.8       0.01     2.4       0.26 
     1966:05       0.05       3.7       98.0       0.01     0.6       0.30 
     1966:06       0.17       0.9       98.5       0.01    -0.1       0.35 
     1966:07       0.25       0.1       98.8       0.01     0.6       0.33 
     1966:08       0.11       1.7       99.0       0.01     0.3       0.35 
     1966:09       0.06       2.6       99.4       0.01    -0.2       0.39 
     1966:10       0.05       2.4       99.9       0.01    -0.5       0.40 
     1966:11       0.11       2.0       99.8       0.05    -0.8       0.41 
     1966:12       0.23       0.5      100.0       0.03     0.7       0.34 
     1967:01       0.15       1.8      100.4       0.01     2.8       0.16 
     1967:02       0.52      -1.2       99.8       0.21     2.3       0.24 
     1967:03       0.48      -1.4       99.7       0.21     1.6       0.26 
     1967:04       0.18       0.3       99.9       0.07     2.2       0.20 
     1967:05       0.07       2.0       99.6       0.29     2.6       0.18 
     1967:06       0.01       5.7      100.0       0.07     4.4       0.11 
     1967:07       0.02       5.8      100.0       0.10     4.4       0.12 
     1967:08       0.02       6.4      101.0       0.01     4.9       0.11 
     1967:09       0.02       5.5      101.1       0.02     4.4       0.11 
     1967:10       0.02       6.4      101.4       0.02     4.3       0.13 
     1967:11       0.02       5.8      102.5       0.01     4.8       0.13 
     1967:12       0.01       6.2      103.5       0.01     3.7       0.14 
     1968:01       0.01       6.2      103.3       0.03     1.4       0.26 
     1968:02       0.01       7.4      103.7       0.01     3.4       0.15 
     1968:03       0.01       7.7      104.0       0.01     3.7       0.13 
     1968:04       0.04       5.0      104.1       0.02     2.6       0.18 
     1968:05       0.06       4.2      104.8       0.01     3.4       0.16 
     1968:06       0.08       2.8      105.3       0.01     2.9       0.16 
     1968:07       0.09       2.1      105.8       0.01     3.3       0.16 
     1968:08       0.07       3.1      105.9       0.01     3.7       0.13 
     1968:09       0.03       5.1      106.3       0.01     5.2       0.09 
     1968:10       0.02       5.1      106.7       0.01     5.2       0.10 
     1968:11       0.02       5.3      107.5       0.01     6.2       0.11 
     1968:12       0.04       4.3      107.6       0.01     3.1       0.16 
     1969:01       0.03       5.2      108.0       0.01     3.5       0.15 
     1969:02       0.03       5.7      108.3       0.01     4.2       0.13 
     1969:03       0.07       3.6      108.9       0.01     3.1       0.16 
     1969:04       0.17       2.0      109.0       0.02     3.2       0.17 
     1969:05       0.50      -0.7      109.1       0.03     2.3       0.24 
     1969:06       0.60      -1.6      109.6       0.01     2.3       0.22 
     1969:07       0.55      -1.8      110.0       0.01     0.6       0.28 
     1969:08       0.51      -1.7      110.5       0.01     1.3       0.24 
     1969:09       0.61      -2.0      110.7       0.01     1.0       0.27 
     1969:10       0.48      -1.5      111.0       0.01     2.2       0.24 
     1969:11       0.50      -1.5      110.3       0.21     1.0       0.30 
     1969:12       0.37      -0.2      110.2       0.20     0.7       0.35 
     1970:01       0.74      -2.7      109.0       0.89    -2.0       0.49 
     1970:02       0.73      -2.9      108.9       0.58    -0.9       0.39 
     1970:03       0.56      -1.6      108.7       0.60     0.0       0.33 
     1970:04       0.57      -1.5      108.5       0.64     1.3       0.25 
     1970:05       0.65      -1.7      108.3       0.58     3.2       0.22 
     1970:06       0.76      -2.8      108.1       0.66     0.8       0.33 
     1970:07       0.55      -2.3      108.4       0.26     0.5       0.25 
     1970:08       0.19      -0.1      108.3       0.38     1.8       0.18 
     1970:09       0.09       1.7      107.5       0.82     2.6       0.17 
     1970:10       0.09       2.4      106.3       0.99     3.0       0.14 
     1970:11       0.11       2.3      105.7       0.99     2.2       0.18 
     1970:12       0.02       4.0      107.1       0.10     6.7       0.05 
     1971:01       0.01       3.5      107.9       0.03     5.6       0.07 
     1971:02       0.01       3.2      108.1       0.04     3.7       0.10 
     1971:03       0.01       4.6      108.2       0.04     5.7       0.06 
     1971:04       0.01       5.4      108.6       0.01     5.4       0.07 
     1971:05       0.01       7.0      109.0       0.01     6.2       0.05 
     1971:06       0.01       7.3      109.4       0.01     5.5       0.06 
     1971:07       0.02       6.2      109.1       0.08     7.0       0.04 
     1971:08       0.05       5.0      109.1       0.08     5.2       0.06 
     1971:09       0.03       4.6      109.9       0.01     5.9       0.06 
     1971:10       0.02       4.7      110.1       0.01     4.9       0.06 
     1971:11       0.01       5.5      111.0       0.01     6.3       0.04 
     1971:12       0.01       6.3      112.1       0.01     7.8       0.03 
     1972:01       0.01       8.0      113.6       0.01     8.1       0.03 
     1972:02       0.01       8.0      114.1       0.01     6.8       0.04 
     1972:03       0.01       5.9      114.8       0.01     6.4       0.05 
     1972:04       0.01       5.8      115.7       0.01     6.5       0.05 
     1972:05       0.01       5.6      116.0       0.01     5.0       0.07 
     1972:06       0.01       5.6      116.2       0.02     6.4       0.04 
     1972:07       0.01       7.0      116.3       0.02     6.7       0.04 
