Historical Values of the NBER Experimental Recession Index (XRI),
Experimental Leading Index (xli2), Experimental  Coincident Index (XCI),
alternative nonfinancial  Experimental Leading Index-2 (XLI-2), and
alternative  nonfinancial Experimental Recession Index-2 (XRI-2).
Data are monthly


Last Updated:  3/01/01

     date         XRI       XLI       XCI      XLI-2     XRI-2
     1962:05       0.06       2.8       78.4     1.1       0.24 
     1962:06       0.06       2.9       78.3     1.4       0.24 
     1962:07       0.05       2.8       78.6     2.2       0.19 
     1962:08       0.06       2.3       78.7     2.4       0.18 
     1962:09       0.03       3.5       79.0     2.4       0.17 
     1962:10       0.02       3.9       79.1     2.1       0.20 
     1962:11       0.02       3.8       79.5     2.7       0.17 
     1962:12       0.02       4.3       79.4     3.1       0.16 
     1963:01       0.01       5.3       79.5     3.7       0.15 
     1963:02       0.01       6.2       80.0     4.6       0.15 
     1963:03       0.01       6.5       80.4     4.6       0.14 
     1963:04       0.01       6.9       81.0     5.0       0.14 
     1963:05       0.01       7.5       81.5     3.9       0.15 
     1963:06       0.02       5.9       81.8     2.2       0.18 
     1963:07       0.03       4.4       81.9     0.9       0.20 
     1963:08       0.07       3.2       82.0     2.5       0.17 
     1963:09       0.05       3.9       82.4     4.0       0.12 
     1963:10       0.04       4.0       82.9     4.4       0.11 
     1963:11       0.04       3.5       83.0     3.7       0.14 
     1963:12       0.03       4.3       83.2     2.7       0.14 
     1964:01       0.02       5.0       83.4     3.3       0.18 
     1964:02       0.02       6.0       84.0     4.3       0.12 
     1964:03       0.02       4.8       84.2     3.5       0.18 
     1964:04       0.03       3.6       85.1     2.9       0.19 
     1964:05       0.04       3.5       85.5     3.7       0.17 
     1964:06       0.03       4.0       85.8     3.5       0.16 
     1964:07       0.01       5.5       86.2     4.8       0.15 
     1964:08       0.01       6.5       86.5     4.8       0.16 
     1964:09       0.01       6.1       86.9     2.8       0.22 
     1964:10       0.02       5.0       86.5     1.2       0.29 
     1964:11       0.02       5.8       87.7     3.4       0.23 
     1964:12       0.02       4.6       88.8     2.5       0.25 
     1965:01       0.02       4.9       89.5     3.6       0.19 
     1965:02       0.02       4.9       89.9     3.2       0.23 
     1965:03       0.02       5.0       90.7     3.6       0.21 
     1965:04       0.01       5.5       91.0     2.8       0.23 
     1965:05       0.02       4.7       91.4     3.1       0.21 
     1965:06       0.02       5.3       91.7     4.2       0.19 
     1965:07       0.03       4.5       92.3     2.4       0.25 
     1965:08       0.02       4.9       92.7     2.6       0.20 
     1965:09       0.01       6.0       92.9     3.5       0.18 
     1965:10       0.01       7.0       93.8     4.9       0.14 
     1965:11       0.01       7.5       94.5     5.6       0.14 
     1965:12       0.01       7.7       95.4     6.8       0.16 
     1966:01       0.01       7.8       96.0     5.2       0.18 
     1966:02       0.01       6.6       96.6     2.6       0.28 
     1966:03       0.01       6.7       97.6     3.3       0.25 
     1966:04       0.01       5.8       97.6     2.3       0.27 
     1966:05       0.04       3.8       97.8     0.6       0.31 
     1966:06       0.15       1.2       98.4     0.1       0.36 
     1966:07       0.22       0.6       98.6     0.8       0.32 
     1966:08       0.10       2.0       98.8     0.6       0.34 
     1966:09       0.04       2.8       99.3     0.1       0.39 
     1966:10       0.04       2.6       99.7    -0.4       0.40 
     1966:11       0.11       2.3       99.6    -0.6       0.40 
     1966:12       0.21       0.8       99.8     0.7       0.34 
     1967:01       0.14       1.9      100.3     2.8       0.17 
     1967:02       0.49      -0.9       99.7     2.4       0.23 
     1967:03       0.44      -1.1       99.6     1.7       0.25 
     1967:04       0.16       0.5       99.8     2.3       0.20 
     1967:05       0.06       2.1       99.6     2.8       0.18 
     1967:06       0.01       5.6      100.0     4.4       0.12 
     1967:07       0.02       5.7      100.0     4.3       0.12 
     1967:08       0.02       6.2      101.0     4.6       0.12 
     1967:09       0.02       5.5      101.1     4.1       0.12 
     1967:10       0.02       6.1      101.3     3.9       0.14 
     1967:11       0.02       5.5      102.3     4.4       0.15 
     1967:12       0.01       6.0      103.4     3.5       0.16 
     1968:01       0.01       5.8      103.2     1.3       0.27 
     1968:02       0.01       6.9      103.6     3.1       0.17 
     1968:03       0.01       7.2      103.9     3.3       0.15 
     1968:04       0.04       4.8      104.0     2.5       0.19 
     1968:05       0.05       4.1      104.8     3.5       0.16 
     1968:06       0.07       2.8      105.3     3.0       0.16 
     1968:07       0.08       2.1      105.7     3.3       0.16 
     1968:08       0.06       3.1      105.8     3.5       0.14 
     1968:09       0.02       5.0      106.2     4.8       0.10 
     1968:10       0.02       4.9      106.6     4.8       0.12 
     1968:11       0.02       5.2      107.4     5.8       0.13 
     1968:12       0.03       4.1      107.5     3.0       0.17 
     1969:01       0.03       4.8      107.9     3.1       0.17 
     1969:02       0.03       5.2      108.2     3.7       0.15 
     1969:03       0.08       3.4      108.8     2.7       0.18 
     1969:04       0.16       2.1      108.9     3.1       0.18 
     1969:05       0.45      -0.4      109.1     2.5       0.24 
     1969:06       0.55      -1.3      109.6     2.5       0.22 
     1969:07       0.49      -1.3      109.9     0.8       0.27 
     1969:08       0.46      -1.2      110.4     1.4       0.24 
     1969:09       0.56      -1.6      110.6     0.9       0.27 
     1969:10       0.47      -1.3      110.9     1.9       0.25 
     1969:11       0.49      -1.2      110.3     0.7       0.30 
     1969:12       0.35       0.0      110.3     0.6       0.36 
     1970:01       0.73      -2.5      109.1    -1.9       0.49 
     1970:02       0.71      -2.7      109.0    -0.8       0.39 
     1970:03       0.56      -1.6      108.8    -0.0       0.33 
     1970:04       0.56      -1.3      108.7     1.2       0.26 
     1970:05       0.64      -1.7      108.5     2.9       0.24 
     1970:06       0.77      -2.7      108.3     0.7       0.34 
     1970:07       0.51      -2.0      108.6     0.6       0.25 
     1970:08       0.17       0.1      108.5     1.7       0.19 
     1970:09       0.07       1.8      107.8     2.5       0.17 
     1970:10       0.08       2.1      106.6     2.5       0.15 
     1970:11       0.11       2.2      106.0     1.7       0.20 
     1970:12       0.02       3.9      107.3     6.1       0.05 
     1971:01       0.01       3.4      108.2     5.3       0.07 
     1971:02       0.01       3.1      108.3     3.6       0.10 
     1971:03       0.01       4.2      108.5     5.1       0.07 
     1971:04       0.01       5.2      108.9     4.8       0.08 
     1971:05       0.01       6.6      109.2     5.6       0.05 
     1971:06       0.02       6.8      109.7     5.1       0.07 
     1971:07       0.02       5.8      109.4     6.3       0.04 
     1971:08       0.04       4.6      109.4     4.6       0.06 
     1971:09       0.03       4.4      110.1     5.4       0.07 
     1971:10       0.02       4.5      110.4     4.6       0.06 
     1971:11       0.01       5.5      111.3     6.1       0.04 
     1971:12       0.01       6.0      112.4     7.5       0.04 
     1972:01       0.01       7.9      113.8     7.8       0.03 
     1972:02       0.01       8.0      114.2     6.5       0.04 
     1972:03       0.01       6.0      114.9     6.0       0.05 
     1972:04       0.01       6.0      116.0     6.3       0.05 
     1972:05       0.01       5.5      116.2     4.6       0.07 
     1972:06       0.01       5.6      116.3     6.2       0.04 
     1972:07       0.01       7.0      116.5     6.4       0.05 
     1972:08       0.01       8.1      117.8     7.6       0.04 
     1972:09       0.01       8.7      118.8     8.9       0.03 
     1972:10       0.01       9.5      120.2     8.7       0.04 
     1972:11       0.01       9.0      121.5     6.6       0.06 
     1972:12       0.01      10.5      122.5     7.7       0.04 
     1973:01       0.01       8.6      122.8     6.9       0.07 
     1973:02       0.03       6.6      123.9     6.2       0.07 
     1973:03       0.10       4.3      124.0     3.6       0.12 
     1973:04       0.11       3.2      124.3     2.2       0.16 
     1973:05       0.09       3.5      124.6     2.7       0.14 
     1973:06       0.21       2.9      125.0     4.8       0.08 
     1973:07       0.58      -0.2      125.6     3.5       0.15 
     1973:08       0.72      -1.2      125.2     3.4       0.15 
     1973:09       0.48      -0.8      125.8     2.6       0.20 
     1973:10       0.28      -1.0      126.5    -0.7       0.40 
     1973:11       0.26      -1.6      127.4     0.2       0.38 
     1973:12       0.19      -1.1      126.8    -0.7       0.46 
     1974:01       0.15       0.2      125.8    -0.3       0.45 
     1974:02       0.23       1.3      125.3     0.5       0.38 
     1974:03       0.51       1.2      125.3     2.0       0.24 
     1974:04       0.92      -1.7      124.4     0.2       0.35 
     1974:05       0.97      -3.9      125.4     0.3       0.37 
     1974:06       1.00      -8.2      125.7    -0.1       0.39 
     1974:07       0.99      -8.3      125.7    -1.1       0.47 
     1974:08       0.99     -10.3      125.1    -1.6       0.52 
     1974:09       0.94      -9.6      124.9    -2.7       0.50 
     1974:10       0.87      -8.0      124.3    -3.0       0.46 
     1974:11       0.94      -9.1      122.3    -4.3       0.48 
     1974:12       0.78      -5.2      119.4    -4.1       0.42 
     1975:01       0.78      -4.9      117.7    -4.4       0.46 
     1975:02       0.76      -4.3      116.4    -3.5       0.41 
     1975:03       0.70      -2.6      115.0    -1.3       0.36 
     1975:04       0.19       0.5      115.3     3.5       0.15 
     1975:05       0.02       3.7      115.4     5.0       0.12 
     1975:06       0.02       4.0      116.2     3.9       0.18 
     1975:07       0.01       5.2      116.6     4.3       0.18 
     1975:08       0.01       5.2      118.0     4.1       0.22 
     1975:09       0.01       4.7      118.8     2.8       0.24 
     1975:10       0.01       5.0      119.3     2.1       0.25 
     1975:11       0.01       5.3      119.8     1.2       0.27 
     1975:12       0.01       5.7      120.5     1.3       0.26 
     1976:01       0.01       5.9      122.0     3.4       0.21 
     1976:02       0.01       5.9      123.2     3.2       0.23 
     1976:03       0.01       5.6      123.3     2.3       0.28 
     1976:04       0.01       6.3      123.8     2.4       0.29 
     1976:05       0.01       5.5      124.4     1.8       0.29 
     1976:06       0.01       4.7      124.6     1.6       0.27 
     1976:07       0.01       6.6      125.1     2.1       0.22 
     1976:08       0.01       6.9      125.2     2.8       0.19 
     1976:09       0.01       7.8      125.6     4.2       0.12 
     1976:10       0.01       6.5      125.8     2.7       0.16 
     1976:11       0.01       7.0      127.1     4.4       0.11 
     1976:12       0.01       7.4      128.1     5.0       0.13 
     1977:01       0.01       6.6      128.0     3.8       0.16 
     1977:02       0.01       7.3      128.8     4.7       0.14 
     1977:03       0.01       8.1      130.0     4.7       0.09 
     1977:04       0.01       8.3      131.0     5.3       0.10 
     1977:05       0.01       7.5      131.7     5.0       0.11 
     1977:06       0.01       7.7      132.4     5.7       0.08 
     1977:07       0.01       6.3      132.9     4.9       0.11 
     1977:08       0.01       6.1      133.3     4.9       0.08 
     1977:09       0.01       6.0      134.0     4.2       0.12 
     1977:10       0.01       5.8      134.6     3.8       0.08 
     1977:11       0.02       6.6      135.1     5.7       0.07 
     1977:12       0.02       6.8      135.3     5.8       0.07 
     1978:01       0.02       6.2      134.2     4.8       0.09 
     1978:02       0.03       5.9      134.8     4.6       0.12 
     1978:03       0.03       5.9      136.3     4.8       0.09 
     1978:04       0.02       7.5      139.9     8.2       0.05 
     1978:05       0.04       4.8      140.2     6.0       0.09 
     1978:06       0.03       5.5      141.2     7.3       0.05 
     1978:07       0.10       3.8      141.2     4.0       0.10 
     1978:08       0.13       3.1      141.6     2.1       0.14 
     1978:09       0.15       3.3      142.0     3.6       0.09 
     1978:10       0.22       3.4      142.7     5.6       0.08 
     1978:11       0.16       3.7      143.7     6.6       0.08 
     1978:12       0.10       4.3      144.3     5.5       0.09 
     1979:01       0.27       0.8      143.9     0.5       0.31 
     1979:02       0.22       0.8      144.1     0.2       0.28 
     1979:03       0.04       4.6      145.2     4.0       0.12 
     1979:04       0.05       4.2      143.3     2.9       0.21 
     1979:05       0.21       0.8      144.7    -1.0       0.44 
     1979:06       0.07       3.3      145.0     3.0       0.13 
     1979:07       0.14       3.7      145.1     3.3       0.15 
     1979:08       0.39       2.2      145.1     3.9       0.14 
     1979:09       0.70       1.0      144.8     3.6       0.13 
     1979:10       0.92      -2.8      145.0     2.3       0.18 
     1979:11       0.95      -4.7      145.0     0.1       0.31 
     1979:12       0.91      -4.5      145.0    -0.8       0.30 
     1980:01       0.90      -3.5      145.4     0.8       0.22 
     1980:02       0.99      -4.4      145.1     0.2       0.26 
     1980:03       1.00      -8.0      144.3    -2.5       0.44 
     1980:04       0.64      -5.1      142.2    -3.9       0.55 
     1980:05       0.53      -3.6      140.0    -4.7       0.49 
     1980:06       0.27      -0.6      139.1    -0.4       0.27 
     1980:07       0.24       2.5      138.6     3.9       0.13 
     1980:08       0.28       2.7      139.7     6.5       0.09 
     1980:09       0.27       3.3      141.2     7.7       0.07 
     1980:10       0.57       0.8      142.8     6.5       0.13 
     1980:11       0.90      -1.9      144.2     4.2       0.16 
     1980:12       0.76      -2.1      144.8     1.9       0.25 
     1981:01       0.48      -0.7      144.6    -0.2       0.34 
     1981:02       0.27       0.2      144.6    -0.2       0.32 
     1981:03       0.29       0.6      144.5     0.4       0.30 
     1981:04       0.71      -0.9      143.5     0.6       0.29 
     1981:05       0.68      -2.0      143.9     1.5       0.27 
     1981:06       0.83      -3.2      144.4    -0.8       0.43 
     1981:07       0.86      -4.4      145.3    -1.1       0.43 
     1981:08       0.89      -5.3      145.0    -1.3       0.46 
     1981:09       0.81      -3.9      143.6    -1.7       0.50 
     1981:10       0.62      -3.3      143.0    -3.4       0.59 
     1981:11       0.52      -2.2      142.2    -3.1       0.56 
     1981:12       0.55      -1.7      141.3    -1.5       0.48 
     1982:01       0.71      -1.9      139.4    -1.4       0.48 
     1982:02       0.40      -0.7      141.1     1.3       0.35 
     1982:03       0.40      -1.8      140.9     0.5       0.34 
     1982:04       0.44      -2.0      140.6     0.5       0.36 
     1982:05       0.62      -1.6      140.2     0.6       0.37 
     1982:06       0.64      -2.0      139.6    -0.9       0.44 
     1982:07       0.29      -0.1      138.6    -0.9       0.42 
     1982:08       0.56      -2.0      137.8    -1.9       0.52 
     1982:09       0.29      -1.6      137.2    -0.7       0.45 
     1982:10       0.10       1.1      136.4     0.0       0.37 
     1982:11       0.08       1.8      136.2     2.1       0.23 
     1982:12       0.02       4.7      136.1     4.4       0.14 
     1983:01       0.01       6.5      137.7     6.8       0.10 
     1983:02       0.01       6.5      137.3     5.8       0.12 
     1983:03       0.01       6.8      138.4     4.6       0.15 
     1983:04       0.01       7.6      139.6     4.7       0.14 
     1983:05       0.01       8.6      140.7     5.3       0.11 
     1983:06       0.01       8.5      141.5     7.7       0.09 
     1983:07       0.01       8.2      143.1     6.8       0.10 
     1983:08       0.01       6.0      143.6     4.9       0.15 
     1983:09       0.01       5.3      145.4     3.1       0.19 
     1983:10       0.01       6.7      146.7     4.3       0.13 
     1983:11       0.01       6.8      147.3     5.7       0.13 
     1983:12       0.01       6.9      148.6     4.4       0.14 
     1984:01       0.01       8.5      150.4     6.4       0.10 
     1984:02       0.01       9.3      151.1     7.2       0.05 
     1984:03       0.01       7.5      151.9     5.3       0.12 
     1984:04       0.02       6.2      153.0     4.2       0.11 
     1984:05       0.03       4.9      153.5     4.3       0.12 
     1984:06       0.02       4.6      154.3     4.5       0.10 
     1984:07       0.02       3.4      154.7     2.3       0.19 
     1984:08       0.02       2.4      155.2     1.4       0.21 
     1984:09       0.01       2.8      155.4     0.9       0.21 
     1984:10       0.01       2.6      154.9     1.2       0.19 
     1984:11       0.01       5.4      155.6     4.1       0.09 
     1984:12       0.01       6.2      155.8     4.0       0.10 
     1985:01       0.01       6.7      156.1     5.2       0.10 
     1985:02       0.01       6.7      156.5     4.0       0.11 
     1985:03       0.01       5.5      157.1     3.8       0.09 
     1985:04       0.01       5.4      157.2     3.8       0.09 
     1985:05       0.01       5.1      157.8     3.9       0.08 
     1985:06       0.01       5.9      157.7     4.3       0.08 
     1985:07       0.01       5.7      157.4     4.3       0.08 
     1985:08       0.01       5.5      158.3     5.6       0.05 
     1985:09       0.01       6.6      158.9     7.0       0.04 
     1985:10       0.03       4.7      159.0     4.4       0.07 
     1985:11       0.05       3.6      159.4     3.1       0.09 
     1985:12       0.03       4.5      159.9     4.6       0.06 
     1986:01       0.03       4.9      160.5     5.7       0.05 
     1986:02       0.08       3.4      160.1     4.5       0.07 
     1986:03       0.04       3.9      159.9     4.5       0.07 
     1986:04       0.03       4.5      161.2     6.0       0.05 
     1986:05       0.16       2.4      160.8     4.0       0.07 
     1986:06       0.27       1.6      160.6     3.4       0.09 
     1986:07       0.13       2.8      160.8     4.3       0.07 
     1986:08       0.04       3.7      161.3     3.8       0.08 
     1986:09       0.05       3.2      162.1     3.8       0.08 
     1986:10       0.07       2.4      162.5     4.2       0.10 
     1986:11       0.11       1.7      162.8     3.2       0.13 
     1986:12       0.03       4.5      163.9     7.0       0.05 
     1987:01       0.09       3.3      163.2     2.8       0.12 
     1987:02       0.12       3.0      164.9     3.1       0.10 
     1987:03       0.15       2.4      165.4     4.0       0.08 
     1987:04       0.37       0.8      165.2     4.3       0.10 
     1987:05       0.40       0.1      165.9     3.4       0.13 
     1987:06       0.14       1.2      166.9     4.5       0.12 
     1987:07       0.06       2.0      167.7     4.1       0.14 
     1987:08       0.13       0.8      168.2     3.1       0.15 
     1987:09       0.44      -0.6      167.8     3.6       0.14 
     1987:10       0.37      -0.3      169.3     2.9       0.16 
     1987:11       0.43      -0.7      169.9     2.5       0.16 
     1987:12       0.18       0.5      171.1     2.7       0.17 
     1988:01       0.14       0.2      171.0     0.4       0.27 
     1988:02       0.03       2.2      171.9     3.5       0.14 
     1988:03       0.03       3.0      172.7     4.7       0.10 
     1988:04       0.05       2.8      173.6     4.1       0.14 
     1988:05       0.06       2.7      173.6     2.5       0.16 
     1988:06       0.05       2.9      173.9     4.3       0.15 
     1988:07       0.21      -0.8      174.6    -0.5       0.37 
     1988:08       0.09       0.8      174.9     2.7       0.16 
     1988:09       0.06       2.5      175.0     3.7       0.14 
     1988:10       0.05       3.5      176.0     3.6       0.11 
     1988:11       0.11       3.8      176.5     4.1       0.10 
     1988:12       0.12       2.9      177.7     4.3       0.10 
     1989:01       0.12       2.5      178.4     4.3       0.12 
     1989:02       0.18       0.8      177.8     2.5       0.18 
     1989:03       0.21       0.1      178.2     0.7       0.27 
     1989:04       0.08       1.8      178.8     1.6       0.18 
     1989:05       0.06       2.5      178.1     3.4       0.15 
     1989:06       0.07       2.2      177.7     1.6       0.19 
     1989:07       0.15       1.8      176.9     0.6       0.24 
     1989:08       0.17       1.5      177.7     2.7       0.13 
     1989:09       0.21       1.1      177.7     2.7       0.13 
     1989:10       0.15       1.9      177.5     3.0       0.13 
     1989:11       0.12       2.7      178.6     4.3       0.11 
     1989:12       0.05       4.1      178.9     4.5       0.08 
     1990:01       0.03       6.5      178.6     8.2       0.03 
     1990:02       0.10       3.7      179.5     3.9       0.14 
     1990:03       0.17       0.8      180.1    -0.5       0.26 
     1990:04       0.25      -0.2      179.2    -1.7       0.35 
     1990:05       0.23      -0.1      179.8     0.2       0.28 
     1990:06       0.15       1.0      180.2     0.3       0.23 
     1990:07       0.11       2.0      180.3     1.5       0.18 
     1990:08       0.17       1.9      180.3     2.3       0.16 
     1990:09       0.40       0.5      179.7     0.2       0.25 
     1990:10       0.51      -0.4      178.4    -0.2       0.29 
     1990:11       0.54      -0.6      177.0    -0.7       0.35 
     1990:12       0.45      -0.7      176.4    -1.3       0.43 
     1991:01       0.42      -1.1      175.1    -1.3       0.45 
     1991:02       0.33      -0.6      174.5    -0.1       0.36 
     1991:03       0.23       0.2      173.9     0.9       0.32 
     1991:04       0.16       0.3      174.5     1.9       0.26 
     1991:05       0.09       1.2      175.2     2.3       0.22 
     1991:06       0.07       1.5      176.1     1.5       0.24 
     1991:07       0.04       2.2      176.3     3.0       0.20 
     1991:08       0.04       2.5      176.4     1.5       0.22 
     1991:09       0.04       2.3      177.1     1.7       0.20 
     1991:10       0.07       1.8      176.8     1.8       0.20 
     1991:11       0.10       1.9      176.8     0.5       0.25 
     1991:12       0.03       3.7      176.1     2.1       0.19 
     1992:01       0.01       4.6      176.5     3.3       0.16 
     1992:02       0.01       4.4      177.2     3.2       0.16 
     1992:03       0.02       2.8      177.8     3.0       0.19 
     1992:04       0.02       2.7      178.7     3.0       0.19 
     1992:05       0.03       2.3      178.9     1.5       0.21 
     1992:06       0.03       2.5      179.0     2.4       0.18 
     1992:07       0.02       3.4      179.6     2.8       0.16 
     1992:08       0.02       3.2      179.0     0.8       0.22 
     1992:09       0.01       4.2      179.6     3.0       0.17 
     1992:10       0.01       3.6      180.5     2.8       0.18 
     1992:11       0.02       2.6      181.0     2.1       0.21 
     1992:12       0.01       2.8      181.7     3.9       0.16 
     1993:01       0.01       3.6      182.5     3.5       0.17 
     1993:02       0.01       3.3      183.1     2.7       0.18 
     1993:03       0.04       1.7      182.7     1.2       0.23 
     1993:04       0.04       2.4      183.3     1.1       0.20 
     1993:05       0.04       2.9      183.5     1.5       0.20 
     1993:06       0.03       3.3      184.2     3.5       0.15 
     1993:07       0.02       3.7      184.1     3.3       0.15 
     1993:08       0.02       3.8      184.3     3.8       0.13 
     1993:09       0.02       4.3      185.3     5.2       0.11 
     1993:10       0.02       4.1      185.9     4.0       0.13 
     1993:11       0.02       4.4      186.7     4.9       0.12 
     1993:12       0.01       5.0      187.7     5.3       0.10 
     1994:01       0.01       5.0      187.8     3.5       0.14 
     1994:02       0.01       4.9      188.4     2.3       0.18 
     1994:03       0.02       4.9      190.2     3.7       0.12 
     1994:04       0.04       4.4      191.0     4.9       0.10 
     1994:05       0.08       3.4      192.1     4.8       0.11 
     1994:06       0.09       2.9      192.5     4.1       0.12 
     1994:07       0.07       2.8      193.0     2.8       0.13 
     1994:08       0.04       3.2      193.9     4.3       0.11 
     1994:09       0.04       3.9      194.5     3.8       0.11 
     1994:10       0.06       3.4      195.7     3.8       0.13 
     1994:11       0.17       1.9      196.3     4.1       0.14 
     1994:12       0.09       2.3      197.7     4.3       0.12 
     1995:01       0.08       1.8      198.6     3.5       0.16 
     1995:02       0.11       1.4      198.5     1.7       0.18 
     1995:03       0.14       1.7      198.4     1.2       0.18 
     1995:04       0.11       2.8      198.0     1.9       0.16 
     1995:05       0.10       3.2      198.1     3.3       0.13 
     1995:06       0.04       3.6      199.0     2.6       0.13 
     1995:07       0.04       3.8      199.0     3.5       0.12 
     1995:08       0.04       3.5      200.4     5.7       0.09 
     1995:09       0.05       2.8      201.0     5.1       0.10 
     1995:10       0.07       2.2      200.9     3.9       0.11 
     1995:11       0.07       2.8      201.6     4.5       0.08 
     1995:12       0.04       3.5      202.0     3.4       0.10 
     1996:01       0.03       4.2      200.3     4.2       0.12 
     1996:02       0.03       4.8      202.4     4.0       0.11 
     1996:03       0.06       3.4      203.0     3.4       0.10 
     1996:04       0.08       3.2      204.4     4.8       0.08 
     1996:05       0.05       4.1      205.6     4.0       0.09 
     1996:06       0.03       4.4      206.8     3.0       0.11 
     1996:07       0.04       3.6      206.9     5.4       0.08 
     1996:08       0.05       3.4      207.9     3.8       0.09 
     1996:09       0.04       3.2      208.7     3.2       0.11 
     1996:10       0.03       4.0      209.2     4.1       0.10 
     1996:11       0.02       4.8      210.4     3.8       0.09 
     1996:12       0.02       4.6      210.6     5.3       0.08 
     1997:01       0.04       3.6      211.0     4.5       0.10 
     1997:02       0.05       3.1      212.6     4.5       0.10 
     1997:03       0.05       2.6      213.5     4.6       0.10 
     1997:04       0.08       2.0      214.6     3.8       0.10 
     1997:05       0.11       2.0      214.9     3.0       0.10 
     1997:06       0.05       3.3      215.7     2.4       0.11 
     1997:07       0.02       4.7      216.8     5.1       0.08 
     1997:08       0.02       4.7      218.1     4.8       0.08 
     1997:09       0.03       4.0      219.2     5.3       0.07 
     1997:10       0.03       3.8      220.0     6.0       0.07 
     1997:11       0.04       3.6      220.9     4.8       0.07 
     1997:12       0.03       3.6      221.7     5.3       0.08 
     1998:01       0.02       4.3      223.0     4.9       0.06 
     1998:02       0.02       4.8      223.7     5.8       0.05 
     1998:03       0.04       4.3      224.6     5.2       0.06 
     1998:04       0.05       4.0      225.0     3.7       0.08 
     1998:05       0.06       3.2      225.8     3.7       0.08 
     1998:06       0.10       2.0      225.7     4.0       0.08 
     1998:07       0.11       2.0      226.0     4.3       0.07 
     1998:08       0.08       3.1      227.9     5.6       0.05 
     1998:09       0.11       2.8      227.9     4.3       0.06 
     1998:10       0.05       4.8      229.0     5.2       0.04 
     1998:11       0.09       4.3      229.7     4.7       0.05 
     1998:12       0.09       4.1      230.4     6.1       0.04 
     1999:01       0.07       4.3      230.8     6.5       0.04 
     1999:02       0.05       3.4      231.9     7.5       0.04 
     1999:03       0.07       2.2      233.0     6.1       0.06 
     1999:04       0.05       2.3      233.3     2.4       0.11 
     1999:05       0.04       3.2      234.1     3.0       0.09 
     1999:06       0.05       3.5      235.3     4.4       0.06 
     1999:07       0.06       3.5      236.2     3.8       0.07 
     1999:08       0.08       3.2      236.9     4.2       0.06 
     1999:09       0.18       1.9      236.6     4.2       0.07 
     1999:10       0.11       2.8      238.2     4.7       0.05 
     1999:11       0.08       3.2      239.2     6.0       0.05 
     1999:12       0.05       4.1      240.3     6.1       0.05 
     2000:01       0.03       5.1      241.6     7.1       0.04 
     2000:02       0.03       4.2      242.1     6.3       0.06 
     2000:03       0.03       3.5      243.1     4.6       0.08 
     2000:04       0.04       2.8      244.3     3.2       0.10 
     2000:05       0.12       1.9      244.9     3.5       0.10 
     2000:06       0.06       3.3      245.1     2.5       0.10 
     2000:07       0.03       4.2      245.6     3.1       0.08 
     2000:08       0.04       3.3      246.1     4.4       0.07 
     2000:09       0.05       3.1      246.5     3.0       0.08 
     2000:10       0.08       3.1      246.0     3.8       0.07 
     2000:11       0.11       3.4      245.5     5.1       0.06 
     2000:12       0.08       3.1      244.6     3.1       0.11 
     2001:01       0.03       5.2      244.6     6.5       0.04 
