Historical Values of the NBER Experimental Recession Index (XRI),
Experimental Leading Index (xli2), Experimental  Coincident Index (XCI),
alternative nonfinancial  Experimental Leading Index-2 (XLI-2), and
alternative  nonfinancial Experimental Recession Index-2 (XRI-2).
Data are monthly


Last Updated:  3/01/01

     date         XRI       XLI       XCI      XLI-2     XRI-2
     1959:02          .       3.0       71.4     3.0          . 
     1959:03          .       3.0       71.6     3.0          . 
     1959:04          .       3.0       73.0     3.0          . 
     1959:05          .       3.0       73.8     3.0          . 
     1959:06          .       3.0       74.0     3.0          . 
     1959:07          .       3.0       73.3     3.0          . 
     1959:08          .       3.0       72.0     3.0          . 
     1959:09          .       3.0       71.7     3.0          . 
     1959:10          .       3.0       71.4     3.0          . 
     1959:11          .       3.0       71.8     3.0          . 
     1959:12          .       3.0       74.1     3.0          . 
     1960:01          .       3.0       75.1     3.0          . 
     1960:02          .       4.5       75.0    -1.1          . 
     1960:03          .       2.1       74.5    -0.9          . 
     1960:04          .       0.3       74.4    -1.2          . 
     1960:05          .      -2.0       74.1    -0.8          . 
     1960:06          .      -2.0       73.7     1.0          . 
     1960:07          .      -2.3       73.6     0.9          . 
     1960:08          .      -0.7       73.5     1.0          . 
     1960:09          .      -0.7       73.2     1.0          . 
     1960:10          .      -0.9       73.2     0.7          . 
     1960:11          .      -1.5       72.7    -0.9          . 
     1960:12          .      -0.4       71.7    -0.9          . 
     1961:01       0.22       1.0       71.5    -0.7       0.33 
     1961:02       0.30      -0.2       71.4     0.9       0.28 
     1961:03       0.14       0.9       71.9     2.8       0.19 
     1961:04       0.05       2.7       72.4     3.7       0.20 
     1961:05       0.02       4.1       73.0     3.2       0.21 
     1961:06       0.01       5.7       73.9     4.8       0.19 
     1961:07       0.01       5.7       74.3     3.6       0.21 
     1961:08       0.01       6.4       74.9     4.1       0.19 
     1961:09       0.01       5.3       74.9     2.6       0.25 
     1961:10       0.01       5.7       75.8     2.9       0.24 
     1961:11       0.01       5.8       76.6     3.6       0.21 
     1961:12       0.01       5.6       77.1     4.0       0.20 
     1962:01       0.01       5.8       76.6     2.0       0.26 
     1962:02       0.01       6.8       77.2     4.2       0.19 
     1962:03       0.01       5.2       77.8     1.5       0.27 
     1962:04       0.02       4.5       78.3     1.3       0.19 
