DATE,PRS85006173
2019-04-01,99.979
2019-07-01,99.084
2019-10-01,99.726
2020-01-01,102.363
2020-04-01,104.350
2020-07-01,100.259
2020-10-01,103.088
2021-01-01,100.969
2021-04-01,100.932
2021-07-01,101.343
2021-10-01,100.083
2022-01-01,99.852
2022-04-01,98.780
2022-07-01,99.416
2022-10-01,98.053
2023-01-01,98.866
2023-04-01,99.151
2023-07-01,98.059
