Historical Values of the NBER Experimental Recession Index (XRI),
Experimental Leading Index (xli2), Experimental  Coincident Index (XCI),
alternative nonfinancial  Experimental Leading Index-2 (XLI-2), and
alternative  nonfinancial Experimental Recession Index-2 (XRI-2).
Data are monthly


Last Updated:  3/02/00

     date         XRI       XLI       XCI      XLI-2     XRI-2
     59:02          .       3.0       71.4     3.0          . 
     59:03          .       3.0       71.6     3.0          . 
     59:04          .       3.0       73.0     3.0          . 
     59:05          .       3.0       73.8     3.0          . 
     59:06          .       3.0       74.0     3.0          . 
     59:07          .       3.0       73.3     3.0          . 
     59:08          .       3.0       72.0     3.0          . 
     59:09          .       3.0       71.7     3.0          . 
     59:10          .       3.0       71.4     3.0          . 
     59:11          .       3.0       71.8     3.0          . 
     59:12          .       3.0       74.1     3.0          . 
     60:01          .       3.0       75.1     3.0          . 
     60:02          .       4.7       75.0    -0.7          . 
     60:03          .       2.2       74.5    -0.6          . 
     60:04          .       0.5       74.4    -0.9          . 
     60:05          .      -1.7       74.2    -0.3          . 
     60:06          .      -2.6       73.8     0.3          . 
     60:07          .      -2.2       73.6     1.3          . 
     60:08          .      -0.2       73.5     1.8          . 
     60:09          .      -0.2       73.3     1.6          . 
     60:10          .      -0.4       73.2     1.1          . 
     60:11          .      -1.2       72.7    -0.6          . 
     60:12          .      -0.2       71.7    -0.6          . 
     61:01       0.15       1.2       71.5    -0.3       0.26 
     61:02       0.20       0.0       71.5     1.3       0.21 
     61:03       0.09       1.2       71.9     3.2       0.14 
     61:04       0.03       3.0       72.4     4.1       0.15 
     61:05       0.01       4.4       73.1     3.7       0.15 
     61:06       0.01       6.0       73.9     5.2       0.14 
     61:07       0.01       6.0       74.3     4.1       0.15 
     61:08       0.01       6.7       74.9     4.6       0.13 
     61:09       0.01       5.6       74.9     3.0       0.18 
     61:10       0.01       5.9       75.8     3.3       0.17 
     61:11       0.01       6.1       76.6     4.0       0.15 
     61:12       0.01       5.9       77.1     4.5       0.14 
     62:01       0.01       6.0       76.6     2.4       0.19 
     62:02       0.01       7.0       77.3     4.7       0.13 
     62:03       0.01       5.4       77.8     1.9       0.19 
     62:04       0.01       4.8       78.3     1.9       0.13 
     62:05       0.04       3.0       78.4     1.5       0.17 
     62:06       0.04       3.0       78.4     1.8       0.16 
     62:07       0.03       3.0       78.6     2.7       0.12 
     62:08       0.04       2.5       78.7     2.9       0.11 
     62:09       0.02       3.7       79.0     2.9       0.11 
     62:10       0.01       4.1       79.1     2.6       0.13 
     62:11       0.01       4.0       79.5     3.2       0.11 
     62:12       0.01       4.5       79.4     3.6       0.10 
     63:01       0.01       5.1       79.5     3.7       0.11 
     63:02       0.01       5.8       80.0     4.5       0.11 
     63:03       0.01       6.3       80.4     4.7       0.11 
     63:04       0.01       6.5       81.0     4.9       0.11 
     63:05       0.01       7.5       81.5     4.3       0.10 
     63:06       0.01       6.2       81.8     2.8       0.12 
     63:07       0.02       4.6       81.9     1.3       0.13 
     63:08       0.05       3.3       82.0     2.8       0.12 
     63:09       0.03       4.1       82.4     4.4       0.07 
     63:10       0.03       4.2       82.9     4.8       0.07 
     63:11       0.03       3.5       83.0     4.1       0.09 
     63:12       0.02       4.4       83.3     3.1       0.08 
     64:01       0.01       5.0       83.4     3.6       0.13 
     64:02       0.01       6.0       84.0     4.7       0.07 
     64:03       0.02       4.8       84.2     3.8       0.13 
     64:04       0.03       3.6       85.1     3.1       0.14 
     64:05       0.03       3.5       85.5     4.0       0.13 
     64:06       0.02       4.0       85.8     3.8       0.12 
     64:07       0.01       5.5       86.2     5.1       0.11 
     64:08       0.01       6.6       86.6     5.1       0.12 
     64:09       0.01       6.1       86.9     3.1       0.17 
     64:10       0.02       5.0       86.5     1.5       0.22 
     64:11       0.02       5.8       87.8     3.7       0.17 
     64:12       0.02       4.6       88.8     2.8       0.20 
     65:01       0.01       4.9       89.5     3.9       0.14 
     65:02       0.02       4.9       89.9     3.5       0.17 
     65:03       0.01       5.0       90.7     3.9       0.15 
     65:04       0.01       5.5       91.0     3.0       0.18 
     65:05       0.01       4.7       91.5     3.5       0.16 
     65:06       0.02       5.3       91.7     4.5       0.14 
     65:07       0.01       5.3       92.3     3.8       0.14 
     65:08       0.01       5.1       92.7     3.0       0.15 
     65:09       0.01       5.7       92.9     3.4       0.14 
     65:10       0.01       6.7       93.8     5.0       0.11 
     65:11       0.01       7.4       94.5     6.0       0.10 
     65:12       0.01       7.7       95.4     7.1       0.11 
     66:01       0.01       7.8       96.0     5.5       0.13 
     66:02       0.01       6.5       96.6     2.8       0.23 
     66:03       0.01       6.6       97.6     3.6       0.20 
     66:04       0.01       5.7       97.6     2.5       0.22 
     66:05       0.03       3.7       97.8     0.8       0.25 
     66:06       0.13       1.0       98.4     0.2       0.30 
     66:07       0.19       0.4       98.6     0.9       0.27 
     66:08       0.08       1.8       98.8     0.7       0.29 
     66:09       0.04       2.6       99.2     0.2       0.33 
     66:10       0.03       2.4       99.7    -0.3       0.34 
     66:11       0.08       2.1       99.6    -0.5       0.35 
     66:12       0.16       0.7       99.8     0.8       0.28 
     67:01       0.12       1.8      100.3     2.9       0.14 
     67:02       0.45      -1.1       99.7     2.4       0.19 
     67:03       0.39      -1.3       99.6     1.7       0.20 
     67:04       0.13       0.5       99.8     2.5       0.16 
     67:05       0.04       2.1       99.6     3.0       0.13 
     67:06       0.01       5.6      100.0     4.6       0.07 
     67:07       0.01       5.7      100.0     4.6       0.08 
     67:08       0.01       6.2      101.0     4.9       0.08 
     67:09       0.02       5.5      101.1     4.3       0.08 
     67:10       0.02       6.1      101.3     4.1       0.11 
     67:11       0.01       5.5      102.3     4.6       0.12 
     67:12       0.01       5.9      103.4     3.7       0.12 
     68:01       0.01       5.7      103.2     1.5       0.22 
     68:02       0.01       6.8      103.6     3.3       0.12 
     68:03       0.01       7.2      103.9     3.5       0.11 
     68:04       0.03       4.8      104.0     2.7       0.14 
     68:05       0.04       4.1      104.8     3.6       0.12 
     68:06       0.05       2.7      105.3     3.2       0.12 
     68:07       0.06       2.1      105.7     3.5       0.12 
     68:08       0.04       3.1      105.8     3.8       0.10 
     68:09       0.02       5.0      106.2     5.1       0.07 
     68:10       0.02       5.0      106.6     5.0       0.08 
     68:11       0.01       5.2      107.4     6.0       0.10 
     68:12       0.03       4.1      107.5     3.2       0.13 
     69:01       0.02       4.8      107.9     3.3       0.13 
     69:02       0.02       5.3      108.2     4.0       0.11 
     69:03       0.06       3.3      108.8     2.9       0.14 
     69:04       0.12       2.0      109.0     3.3       0.13 
     69:05       0.40      -0.5      109.1     2.6       0.18 
     69:06       0.49      -1.3      109.6     2.7       0.17 
     69:07       0.43      -1.4      109.9     0.9       0.22 
     69:08       0.40      -1.3      110.5     1.6       0.19 
     69:09       0.50      -1.6      110.7     1.1       0.21 
     69:10       0.41      -1.4      111.0     2.0       0.19 
     69:11       0.42      -1.3      110.4     0.9       0.24 
     69:12       0.29      -0.1      110.3     0.8       0.29 
     70:01       0.69      -2.6      109.1    -1.8       0.43 
     70:02       0.66      -2.8      109.0    -0.6       0.32 
     70:03       0.49      -1.6      108.9     0.1       0.26 
     70:04       0.49      -1.3      108.7     1.4       0.19 
     70:05       0.57      -1.6      108.6     3.2       0.18 
     70:06       0.71      -2.6      108.3     0.9       0.27 
     70:07       0.44      -1.9      108.6     0.8       0.19 
     70:08       0.12       0.1      108.5     2.0       0.13 
     70:09       0.05       1.8      107.8     2.8       0.12 
     70:10       0.06       2.2      106.6     2.8       0.11 
     70:11       0.08       2.3      106.0     2.0       0.15 
     70:12       0.01       4.0      107.3     6.5       0.04 
     71:01       0.01       3.5      108.2     5.6       0.05 
     71:02       0.01       3.0      108.3     3.8       0.07 
     71:03       0.01       4.2      108.5     5.4       0.04 
     71:04       0.01       5.2      108.8     5.1       0.06 
     71:05       0.01       6.7      109.2     6.0       0.03 
     71:06       0.01       6.9      109.6     5.4       0.04 
     71:07       0.02       5.9      109.3     6.7       0.03 
     71:08       0.03       4.6      109.4     5.0       0.04 
     71:09       0.02       4.4      110.1     5.7       0.04 
     71:10       0.01       4.5      110.3     4.9       0.04 
     71:11       0.01       5.5      111.2     6.5       0.03 
     71:12       0.01       6.1      112.3     7.8       0.03 
     72:01       0.01       7.7      113.7     7.9       0.03 
     72:02       0.01       7.7      114.1     6.4       0.03 
     72:03       0.01       5.8      114.9     6.1       0.04 
     72:04       0.01       5.8      116.0     6.5       0.04 
     72:05       0.01       5.4      116.1     4.8       0.05 
     72:06       0.01       5.5      116.3     6.5       0.03 
     72:07       0.01       6.9      116.5     6.7       0.03 
     72:08       0.01       8.1      117.7     7.8       0.03 
     72:09       0.01       8.7      118.7     9.3       0.02 
     72:10       0.01       9.5      120.2     8.9       0.03 
     72:11       0.01       9.0      121.4     6.8       0.05 
     72:12       0.01      10.5      122.4     8.0       0.03 
     73:01       0.01       8.6      122.7     7.1       0.05 
     73:02       0.02       6.5      123.7     6.4       0.05 
     73:03       0.08       4.2      123.9     3.7       0.08 
     73:04       0.10       3.0      124.2     2.3       0.12 
     73:05       0.07       3.3      124.4     2.9       0.10 
     73:06       0.18       2.9      124.8     5.1       0.06 
     73:07       0.54      -0.3      125.5     3.7       0.11 
     73:08       0.68      -1.3      125.1     3.6       0.12 
     73:09       0.44      -0.9      125.7     2.7       0.16 
     73:10       0.24      -1.1      126.4    -0.5       0.34 
     73:11       0.22      -1.7      127.3     0.3       0.31 
     73:12       0.16      -1.3      126.7    -0.7       0.41 
     74:01       0.12       0.0      125.8    -0.3       0.40 
     74:02       0.19       1.2      125.3     0.6       0.31 
     74:03       0.45       1.1      125.2     2.2       0.19 
     74:04       0.90      -1.8      124.4     0.3       0.30 
     74:05       0.96      -4.0      125.4     0.3       0.32 
     74:06       1.00      -8.3      125.7    -0.0       0.34 
     74:07       0.98      -8.4      125.7    -1.0       0.42 
     74:08       0.99     -10.4      125.1    -1.6       0.46 
     74:09       0.93      -9.7      124.9    -2.7       0.44 
     74:10       0.85      -8.1      124.4    -2.9       0.41 
     74:11       0.93      -9.2      122.3    -4.2       0.43 
     74:12       0.74      -5.2      119.4    -4.0       0.38 
     75:01       0.76      -4.9      117.7    -4.3       0.43 
     75:02       0.73      -4.3      116.4    -3.5       0.38 
     75:03       0.65      -2.7      115.0    -1.2       0.31 
     75:04       0.15       0.4      115.3     3.6       0.11 
     75:05       0.02       2.9      115.4     4.1       0.13 
     75:06       0.01       3.9      116.2     4.0       0.14 
     75:07       0.01       5.5      116.6     4.8       0.14 
     75:08       0.01       5.4      118.1     4.5       0.17 
     75:09       0.01       4.9      118.8     2.9       0.20 
     75:10       0.01       5.1      119.3     2.2       0.21 
     75:11       0.01       5.3      119.9     1.4       0.23 
     75:12       0.01       5.6      120.5     1.4       0.22 
