Historical Values of the NBER Experimental Recession Index (XRI),
Experimental Leading Index (XLI), Experimental  Coincident Index (XCI),
Experimental Coincident Recession Index (XRIC)
alternative nonfinancial  Experimental Leading Index-2 (XLI-2), and
alternative  nonfinancial Experimental Leading Recession Index-2 (XRI-2).
Data are monthly


Last Updated: 10/01/03

     date          XRI        XLI       XCI       XRI-C     XLI-2     XRI-2
     1959:02          .       2.9       71.4          .     2.9          . 
     1959:03          .       2.9       71.6          .     2.9          . 
     1959:04          .       2.9       73.0       0.01     2.9          . 
     1959:05          .       2.9       73.9       0.01     2.9          . 
     1959:06          .       2.9       74.1       0.01     2.9          . 
     1959:07          .       2.9       73.3       0.25     2.9          . 
     1959:08          .       2.9       71.9       0.91     2.9          . 
     1959:09          .       2.9       71.6       0.94     2.9          . 
     1959:10          .       2.9       71.3       0.94     2.9          . 
     1959:11          .       2.9       71.7       0.18     2.9          . 
     1959:12          .       2.9       74.1       0.01     2.9          . 
     1960:01          .       2.9       75.2       0.01     2.9          . 
     1960:02          .       4.8       75.1       0.03    -0.8          . 
     1960:03          .       2.2       74.6       0.38    -0.8          . 
     1960:04          .       0.3       74.4       0.54    -1.1          . 
     1960:05          .      -2.0       74.1       0.73    -0.5          . 
     1960:06          .      -3.0       73.7       0.94     0.1          . 
     1960:07          .      -2.7       73.5       0.83     1.1          . 
     1960:08          .      -0.5       73.4       0.70     1.6          . 
     1960:09          .      -0.8       73.1       0.85     1.2          . 
     1960:10          .      -0.8       73.1       0.74     0.8          . 
     1960:11          .      -1.5       72.6       0.97    -0.7          . 
     1960:12          .      -0.5       71.5       0.99    -0.6          . 
     1961:01       0.22       1.1       71.3       0.92    -0.4       0.31 
     1961:02       0.30      -0.2       71.2       0.76     1.2       0.26 
     1961:03       0.13       1.3       71.7       0.17     3.3       0.17 
     1961:04       0.04       3.1       72.2       0.02     4.2       0.18 
     1961:05       0.02       4.6       72.9       0.01     3.6       0.18 
     1961:06       0.01       6.3       73.8       0.01     5.4       0.16 
     1961:07       0.01       6.1       74.2       0.01     4.0       0.18 
     1961:08       0.01       6.9       74.8       0.01     4.4       0.16 
     1961:09       0.01       5.7       74.8       0.02     2.8       0.23 
     1961:10       0.01       6.1       75.7       0.01     3.3       0.21 
     1961:11       0.01       6.2       76.6       0.01     4.3       0.17 
     1961:12       0.01       5.9       77.0       0.01     4.7       0.17 
     1962:01       0.01       6.2       76.5       0.13     2.4       0.24 
     1962:02       0.01       7.3       77.2       0.02     4.7       0.16 
     1962:03       0.01       5.6       77.8       0.01     1.8       0.23 
     1962:04       0.02       4.9       78.2       0.01     1.9       0.16 
     1962:05       0.06       3.1       78.3       0.01     1.5       0.21 
     1962:06       0.06       3.0       78.3       0.05     1.8       0.21 
     1962:07       0.06       2.9       78.6       0.02     2.6       0.16 
     1962:08       0.07       2.5       78.7       0.03     2.8       0.14 
     1962:09       0.03       3.7       79.0       0.01     3.0       0.13 
     1962:10       0.02       4.2       79.1       0.02     2.6       0.17 
     1962:11       0.03       4.0       79.5       0.01     3.2       0.14 
     1962:12       0.02       4.5       79.3       0.05     3.6       0.13 
     1963:01       0.01       5.2       79.5       0.03     3.7       0.13 
     1963:02       0.01       5.9       80.0       0.01     4.5       0.13 
     1963:03       0.01       6.4       80.4       0.01     4.9       0.12 
     1963:04       0.01       6.7       81.1       0.01     5.0       0.13 
     1963:05       0.01       7.9       81.5       0.01     4.7       0.12 
     1963:06       0.01       6.5       81.8       0.01     2.9       0.15 
     1963:07       0.04       4.7       81.9       0.02     1.4       0.17 
     1963:08       0.07       3.4       82.0       0.03     2.8       0.15 
     1963:09       0.06       4.1       82.4       0.01     4.4       0.10 
     1963:10       0.05       4.4       82.9       0.01     4.9       0.09 
     1963:11       0.05       3.6       83.1       0.01     4.3       0.11 
     1963:12       0.03       4.5       83.2       0.01     3.2       0.11 
     1964:01       0.03       5.1       83.4       0.01     3.6       0.16 
     1964:02       0.02       6.2       84.0       0.01     4.7       0.10 
     1964:03       0.03       5.1       84.2       0.01     3.9       0.15 
     1964:04       0.05       3.5       85.0       0.01     3.1       0.17 
     1964:05       0.05       3.4       85.5       0.01     4.0       0.15 
     1964:06       0.04       3.9       85.8       0.01     3.8       0.14 
     1964:07       0.02       5.4       86.2       0.01     5.1       0.13 
     1964:08       0.01       6.6       86.5       0.01     5.1       0.15 
     1964:09       0.01       6.1       87.0       0.01     3.0       0.20 
     1964:10       0.03       4.9       86.4       0.16     1.6       0.26 
     1964:11       0.03       5.8       87.8       0.01     3.9       0.19 
     1964:12       0.04       4.5       88.7       0.01     2.8       0.23 
     1965:01       0.02       5.0       89.5       0.01     4.1       0.16 
     1965:02       0.03       4.8       89.9       0.01     3.4       0.20 
     1965:03       0.02       5.0       90.8       0.01     3.9       0.18 
     1965:04       0.02       5.4       91.1       0.01     2.8       0.22 
     1965:05       0.02       4.6       91.6       0.01     3.5       0.18 
     1965:06       0.02       5.3       91.8       0.01     4.7       0.16 
     1965:07       0.02       5.2       92.4       0.01     3.9       0.17 
     1965:08       0.02       5.1       92.8       0.01     3.0       0.18 
     1965:09       0.02       5.8       93.0       0.01     3.4       0.17 
     1965:10       0.01       6.9       93.9       0.01     5.2       0.12 
     1965:11       0.01       7.5       94.6       0.01     6.1       0.11 
     1965:12       0.01       7.8       95.5       0.01     7.3       0.14 
     1966:01       0.01       8.1       96.2       0.01     5.6       0.15 
     1966:02       0.02       6.6       96.8       0.01     2.8       0.25 
     1966:03       0.01       6.8       97.8       0.01     3.8       0.22 
     1966:04       0.02       5.8       97.8       0.01     2.6       0.24 
     1966:05       0.06       3.6       98.1       0.01     0.8       0.29 
     1966:06       0.20       0.7       98.6       0.01    -0.0       0.35 
     1966:07       0.30      -0.1       98.8       0.01     0.5       0.33 
     1966:08       0.13       1.5       99.0       0.01     0.3       0.35 
     1966:09       0.07       2.4       99.5       0.01    -0.2       0.39 
     1966:10       0.06       2.3      100.0       0.01    -0.5       0.39 
     1966:11       0.13       1.9       99.8       0.06    -0.6       0.40 
     1966:12       0.26       0.4      100.0       0.03     0.8       0.33 
     1967:01       0.17       1.7      100.5       0.01     3.0       0.16 
     1967:02       0.55      -1.4       99.9       0.20     2.4       0.23 
     1967:03       0.51      -1.6       99.8       0.20     1.6       0.26 
     1967:04       0.22       0.1      100.0       0.08     2.3       0.21 
     1967:05       0.09       1.8       99.7       0.32     2.5       0.19 
     1967:06       0.01       5.6      100.0       0.08     4.5       0.11 
     1967:07       0.02       5.7      100.0       0.12     4.6       0.12 
     1967:08       0.02       6.3      101.1       0.01     5.1       0.11 
     1967:09       0.03       5.5      101.1       0.03     4.6       0.11 
     1967:10       0.02       6.4      101.4       0.02     4.3       0.13 
     1967:11       0.02       5.8      102.5       0.01     4.9       0.13 
     1967:12       0.01       6.1      103.6       0.01     3.7       0.14 
     1968:01       0.01       6.2      103.4       0.03     1.4       0.26 
     1968:02       0.01       7.3      103.8       0.01     3.4       0.16 
     1968:03       0.01       7.6      104.1       0.01     3.5       0.14 
     1968:04       0.05       4.8      104.2       0.02     2.6       0.17 
     1968:05       0.07       3.9      105.0       0.01     3.5       0.15 
     1968:06       0.10       2.5      105.4       0.01     2.9       0.16 
     1968:07       0.11       1.8      105.9       0.01     3.4       0.16 
     1968:08       0.08       3.0      105.9       0.02     3.8       0.13 
     1968:09       0.03       5.0      106.3       0.01     5.4       0.09 
     1968:10       0.03       5.1      106.7       0.01     5.5       0.10 
     1968:11       0.02       5.3      107.5       0.01     6.4       0.11 
     1968:12       0.04       4.3      107.7       0.01     3.3       0.16 
     1969:01       0.04       5.2      108.1       0.01     3.5       0.15 
     1969:02       0.04       5.6      108.4       0.01     4.2       0.13 
     1969:03       0.09       3.5      109.0       0.01     3.0       0.16 
     1969:04       0.20       1.8      109.1       0.02     3.1       0.16 
     1969:05       0.54      -1.0      109.2       0.03     2.4       0.24 
     1969:06       0.64      -1.9      109.7       0.01     2.4       0.22 
     1969:07       0.59      -2.1      110.0       0.01     0.6       0.28 
     1969:08       0.53      -1.8      110.6       0.01     1.4       0.24 
     1969:09       0.63      -2.2      110.7       0.01     1.1       0.27 
     1969:10       0.49      -1.6      111.0       0.01     2.3       0.24 
     1969:11       0.51      -1.6      110.4       0.21     1.0       0.30 
     1969:12       0.39      -0.3      110.3       0.20     0.7       0.35 
     1970:01       0.77      -3.0      109.1       0.89    -2.2       0.50 
     1970:02       0.76      -3.2      109.0       0.59    -1.0       0.41 
     1970:03       0.60      -1.8      108.7       0.62    -0.1       0.35 
     1970:04       0.62      -1.8      108.5       0.68     1.2       0.26 
     1970:05       0.69      -2.0      108.4       0.57     3.1       0.23 
     1970:06       0.80      -3.1      108.2       0.66     0.8       0.34 
     1970:07       0.58      -2.5      108.4       0.27     0.4       0.26 
     1970:08       0.21      -0.2      108.3       0.35     1.8       0.18 
     1970:09       0.09       1.6      107.7       0.76     2.6       0.17 
     1970:10       0.09       2.4      106.4       0.98     3.2       0.14 
     1970:11       0.12       2.3      105.8       0.99     2.2       0.18 
     1970:12       0.02       4.0      107.2       0.10     6.7       0.05 
     1971:01       0.01       3.5      108.0       0.03     5.5       0.07 
     1971:02       0.01       3.2      108.2       0.04     3.7       0.10 
     1971:03       0.01       4.6      108.3       0.04     5.8       0.06 
     1971:04       0.01       5.4      108.7       0.01     5.5       0.07 
     1971:05       0.01       7.1      109.1       0.01     6.4       0.05 
     1971:06       0.01       7.3      109.5       0.01     5.6       0.06 
     1971:07       0.03       6.3      109.2       0.08     6.9       0.04 
     1971:08       0.05       5.0      109.2       0.08     5.2       0.06 
     1971:09       0.03       4.6      110.1       0.01     6.0       0.06 
     1971:10       0.02       4.6      110.3       0.01     5.1       0.06 
     1971:11       0.01       5.5      111.1       0.01     6.4       0.04 
     1971:12       0.01       6.4      112.2       0.01     7.9       0.03 
     1972:01       0.01       8.3      113.8       0.01     8.4       0.03 
     1972:02       0.01       8.2      114.4       0.01     7.1       0.04 
     1972:03       0.01       6.0      115.2       0.01     6.5       0.05 
     1972:04       0.01       5.8      115.9       0.01     6.4       0.05 
     1972:05       0.01       5.7      116.2       0.01     4.7       0.07 
     1972:06       0.01       5.7      116.4       0.02     6.3       0.04 
     1972:07       0.01       7.1      116.6       0.02     6.7       0.04 
